unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
40227,10755,2026,10,20.389,Powder Horn Diorite Complex,102489.0,,Powder Horn Diorite Complex,,,358.86,1000.0,0.0,0.0,,0,0
4997,1132,135,1,944.098,Basement,,,,,,358.86,635.0,0.0,0.0,subsurface,0,0
40226,10754,2025,10,32.704,Louil Hills Granite,102488.0,,Louil Hills Granite,,,358.86,635.0,0.0,0.0,,0,0
5011,1138,136,1,2139.553,Basement,,,,,,358.86,512.825,0.0,0.0,subsurface,0,0
8645,2170,319,1,31099.488,Keevy Peak Fm,1020.0,,Keevy Peak,,,373.8625,446.15,2000.0,0.0,surface,0,0
34163,8468,1478,1,19764.262,unnamed,,,,,,379.77,440.55,100.0,100.0,,0,0
34162,8468,1478,1,19764.262,unnamed,,,,,,379.77,491.5583,1000.0,1000.0,,0,0
34282,8534,1484,1,21183.588,Niasina Fm,9602.0,,Niasina,,,379.77,491.0875,1000.0,500.0,,0,0
33630,8196,1453,1,23973.918,Nisutlin Allochthon Fm,9455.0,,Nisutlin Allochthon,,,379.77,616.6,1875.0,0.0,,0,0
17264,4411,536,1,10206.845,Unnamed,,,,,,382.31,471.3,0.0,0.0,subsurface,0,0
34122,8511,1475,1,39087.719,Road River,9547.0,,,Road River,,383.72,471.609,0.0,0.0,,12,104
34123,8511,1475,1,39087.719,Jones Ridge,9553.0,,Jones Ridge,,,383.72,455.9,0.0,0.0,,0,0
7409,1952,288,1,24727.209,Skajit Limestone,3810.0,,Skajit Limestone,Baird,,383.72,464.0,1000.0,0.0,surface,0,0
38480,10003,1672,1,25621.615,Upper Road River Fm,1749.0,,Road River,,,386.54,475.2696,1000.0,1000.0,,3,72
3738,741,97,1,23483.41,Franklinian Sequence,,,,,,387.95,464.0,0.0,0.0,subsurface,0,0
10940,2914,404,1,60931.703,Unnamed,,,,,,387.95,443.1,300.0,0.0,,0,0
1087,146,36,1,27287.484,Franklinian Sequence,,,,,,387.95,464.0,0.0,0.0,subsurface,0,0
3669,722,94,1,17893.213,Franklinian Sequence,,,,,,387.95,464.0,0.0,0.0,subsurface,0,0
3713,732,95,1,9473.32,Franklinian Sequence,,,,,,387.95,464.0,0.0,0.0,subsurface,0,0
3717,734,96,1,16862.484,Franklinian Sequence,,,,,,387.95,464.0,0.0,0.0,subsurface,0,0
10767,2840,396,1,29079.834,Road River Fm,1749.0,,Road River,,,388.8701,465.5444,300.0,120.0,surface,27,435
10747,2834,395,1,21481.9,Unnamed,,,,,,389.33,562.85,3000.0,2000.0,surface,0,0
10770,2840,396,1,29079.834,Upper Mbr of Jones Ridge Limestone,3653.0,,Jones Ridge Limestone,,,389.7899,450.25,0.0,0.0,,7,37
