unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
35641,8972,1551,1,4657.15,Hazen Fm,9762.0,,Hazen,,,449.0,521.0,540.0,540.0,,0,0
13618,3598,458,1,24012.732,Palmetto Fm,1500.0,,Palmetto,,,450.0,479.5375,1000.0,0.0,surface,0,0
5339,1259,152,1,22714.551,Unnamed,,,,,,450.25,484.4125,0.0,0.0,,0,0
10745,2833,394,1,23572.426,Unnamed,,,,,,451.0,497.85,0.0,0.0,,0,0
18703,4866,612,1,5090.962,Arnold River,4823.0,,Arnold River,,,451.0,486.85,0.0,1000.0,,0,0
34350,8580,1487,1,27004.406,Road River,9547.0,,,Road River,,451.3,475.2696,120.0,120.0,,0,0
33993,8409,1471,1,21676.689,Active,8249.0,,Active,,,452.625,484.4125,450.0,450.0,,0,0
41525,11455,2142,10,5375.774,Opohonga Limestone,3746.0,,Opohonga Limestone,,,454.0375,486.85,0.0,0.0,,0,0
33257,7756,1421,1,76726.102,Naranjal Fm,9370.0,,Naranjal,,,454.0375,475.9125,0.0,0.0,,0,0
13495,3569,456,1,32141.57,Valmy Fm,2190.0,,Valmy,,,454.5,479.5375,3000.0,0.0,surface,3,57
14017,3718,467,1,17942.957,Mountain Springs Fm,1366.0,,Mountain Springs,,,454.75,484.4125,190.0,0.0,surface,0,0
8271,2075,307,1,11732.15,Hamburg Sequence,,,,,,455.25,491.0875,1515.0,0.0,surface,0,0
7915,2039,302,1,9633.172,Hamburg Sequence,,,,,,455.5,491.0875,1515.0,0.0,,0,0
19083,5037,635,1,36473.121,Quebec Gp,7947.0,,,Quebec,,455.67,501.0,0.0,0.0,,0,0
34542,8641,1495,1,14197.224,Glenogle,5252.0,,Glenogle,,,455.9,475.2696,400.0,400.0,,2,10
34375,8588,1488,1,8414.364,Road River,9547.0,,,Road River,,455.9,475.2696,0.0,0.0,,0,0
38229,9895,1659,1,28002.219,unnamed,,,,,,456.25,475.2696,40.0,0.0,,0,0
38215,9887,1658,1,19558.414,unnamed,,,,,,456.25,475.2696,50.0,50.0,,0,0
