experiment,stage,time_yr,pft,biomass_molC_per_m3_areamean
main,post_impact,199.5,80,5.526944529756113e-14
main,post_impact,199.5,81,5.5195756819281794e-14
main,post_impact,199.5,82,5.516102846844437e-14
main,post_impact,199.5,83,5.508233910764444e-14
main,post_impact,199.5,84,5.493411850627031e-14
main,post_impact,199.5,85,5.4717416985176556e-14
main,post_impact,199.5,86,5.380776458619764e-14
main,post_impact,199.5,87,5.193060404981055e-14
main,post_impact,199.5,88,4.948124226436708e-14
main,post_impact,199.5,89,4.638551980126922e-14
main,post_impact,199.5,90,4.277855874439476e-14
main,post_impact,199.5,91,3.914004740430098e-14
main,post_impact,199.5,92,3.532874473109911e-14
main,post_impact,199.5,93,3.202840282486713e-14
main,post_impact,199.5,94,2.9331971693104947e-14
main,post_impact,199.5,95,2.7264457442481398e-14
main,post_impact,199.5,96,2.609709865743215e-14
main,post_impact,199.5,97,3.612030379657183e-14
main,post_impact,199.5,98,3.411460770450479e-14
main,post_impact,199.5,99,3.191366712996385e-14
main,post_impact,199.5,100,2.8866472878480084e-14
main,post_impact,199.5,101,2.6031228293255972e-14
main,post_impact,199.5,102,2.344853843971699e-14
main,post_impact,199.5,103,2.225643274008076e-14
main,post_impact,199.5,104,2.207004991630103e-14
main,post_impact,199.5,105,2.331223050971304e-13
main,post_impact,199.5,106,6.230882780219882e-13
main,post_impact,199.5,107,4.3845377090297177e-13
main,post_impact,199.5,108,3.892878044659681e-14
main,post_impact,199.5,109,3.4143217089331254e-14
main,post_impact,199.5,110,3.3243508857153103e-14
main,post_impact,199.5,111,3.109986497929623e-14
main,post_impact,199.5,112,2.597505815039175e-14
size_effect,baseline,49.5,1,1.4136680251769181e-15
size_effect,baseline,49.5,2,7.72944127322775e-14
size_effect,baseline,49.5,3,2.0119864975465251e-13
size_effect,baseline,49.5,4,4.648877311753952e-13
size_effect,baseline,49.5,5,1.634297840287513e-12
size_effect,baseline,49.5,6,0.0003352330531924963
size_effect,baseline,49.5,7,0.0008292480488307774
size_effect,baseline,49.5,8,0.001183912972919643
size_effect,baseline,49.5,9,0.003598930547013879
size_effect,baseline,49.5,10,0.011478971689939499
size_effect,baseline,49.5,11,0.02195850946009159
size_effect,baseline,49.5,12,0.03767068684101105
size_effect,baseline,49.5,13,0.050620391964912415
size_effect,baseline,49.5,14,0.05357180908322334
size_effect,baseline,49.5,15,0.04641280695796013
size_effect,baseline,49.5,16,0.037188753485679626
size_effect,baseline,49.5,17,0.028551511466503143
size_effect,baseline,49.5,18,0.021624436601996422
size_effect,baseline,49.5,19,0.015938635915517807
size_effect,baseline,49.5,20,0.011526500806212425
size_effect,baseline,49.5,21,0.008161166682839394
size_effect,baseline,49.5,22,0.005502463784068823
size_effect,baseline,49.5,23,0.0034511673729866743
size_effect,baseline,49.5,24,0.001983306370675564
size_effect,baseline,49.5,25,0.0009521588799543679
size_effect,baseline,49.5,26,0.00032654570532031357
size_effect,baseline,49.5,27,1.848343526944518e-05
size_effect,baseline,49.5,28,4.273613933439627e-14
size_effect,baseline,49.5,29,4.31293049234574e-14
size_effect,baseline,49.5,30,4.370855687476673e-14
size_effect,baseline,49.5,31,4.474036836539866e-14
size_effect,baseline,49.5,32,4.6494394028177496e-14
size_effect,baseline,49.5,33,5.083514989165372e-14
size_effect,baseline,49.5,34,1.5075802748103911e-13
size_effect,baseline,49.5,35,3.0081067302865916e-13
size_effect,baseline,49.5,36,1.4492027369805704e-12
size_effect,baseline,49.5,37,1.4936643935592464e-11
size_effect,baseline,49.5,38,2.2910501273898376e-10
size_effect,baseline,49.5,39,1.1529279753119681e-08
size_effect,baseline,49.5,40,0.00010523093806114048
size_effect,baseline,49.5,41,0.0009692328167147934
size_effect,baseline,49.5,42,0.0026927078142762184
size_effect,baseline,49.5,43,0.005301044322550297
size_effect,baseline,49.5,44,0.008275933563709259
size_effect,baseline,49.5,45,0.012001576833426952
size_effect,baseline,49.5,46,0.015554981306195259
size_effect,baseline,49.5,47,0.019239800050854683
