name,latitude,longitude,deposit_type,deposit_subtype,age_ma,age_method,tonnage_mt,cu_pct,mo_pct,au_g_t,major_commodities,state_prov,country,reference
Cerro Colorado (Batopilas),27.110374151,-107.710582103,Porphyry copper,,51.6,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,,Chihuahua,Mexico,Hammarstrom and others (2010)
Piedras Verdes,27.162810118,-109.012326059,Porphyry copper,,60.0,Re-Os,288.0,0.37,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
El Datilon,27.433241453,-114.30065169,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Baja California Sur,Mexico,Hammarstrom and others (2010)
Batacosa,27.607623714,-109.366680375,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Sonora,Mexico,Hammarstrom and others (2010)
Arco Sur,27.993282735,-113.42895739,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Au, Cu, Mo",Baja California Sur,Mexico,Hammarstrom and others (2010)
El Arco,28.032788298,-113.396892972,Porphyry copper,,164.1,Re-Os molybdenite,1016.0,0.518,-9999.0,0.12,"Cu, Au",Baja California,Mexico,Hammarstrom and others (2010)
Cuatro Hermanos,28.388016681,-109.644997236,Porphyry copper,,55.7,Re-Os molybdenite,764.0,0.18,0.02,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
Los Verdes,28.394675443,-109.149571804,Porphyry copper,,49.3,unknown,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, W, Ag",Sonora,Mexico,Hammarstrom and others (2010)
Suaqui Verde,28.399375589,-109.802084606,Porphyry copper,,57.0,Re-Os molybdenite,87.2,0.43,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
Aurora,28.526608387,-109.621391469,Porphyry copper,,53.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Au",Sonora,Mexico,Hammarstrom and others (2010)
San Javier,28.60454398,-109.714920859,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Sonora,Mexico,Hammarstrom and others (2010)
Luz del Cobre,28.627378399,-109.642185445,Porphyry copper,,-9999.0,Geologic inference,14.7,0.74,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
Picacho,29.183313506,-110.72345632,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
La Sierrita/La Cobriza,29.395054928,-111.30287173,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Sonora,Mexico,Hammarstrom and others (2010)
Red Hills,29.805,-104.402777778,Porphyry copper,,60.2,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Texas,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Cumobabi,29.870459217,-109.962058117,Porphyry copper,Cu-Mo,58.7,Re-Os molybdenite,67.0,0.266,0.099,-9999.0,Mo,Sonora,Mexico,Hammarstrom and others (2010)
Cobre Rico,29.876695887,-109.985413652,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Mo, Cu",Sonora,Mexico,Hammarstrom and others (2010)
Washington,29.895010855,-110.067797514,Porphyry copper,,45.7,K-Ar sericite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, W",Sonora,Mexico,Hammarstrom and others (2010)
La Fortuna,30.078448983,-112.49466488,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Sonora,Mexico,Hammarstrom and others (2010)
La Bella Esperanza,30.256003358,-109.698222698,Porphyry copper,,55.9,whole rock,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Sonora,Mexico,Hammarstrom and others (2010)
La Caridad,30.314444862,-109.559412055,Porphyry copper,,53.7,Re-Os molybdenite (average),1800.0,0.452,0.0247,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
Pilares,30.330446983,-109.629364652,Porphyry copper,,53.0,unknown,147.0,1.04,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
La Florida,30.379022821,-109.725361997,Porphyry copper,,52.4,K-Ar sericite,135.0,0.33,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
El Batamote,30.449581096,-109.7713834,Porphyry copper,,56.8,K-Ar biotite,4.4,0.36,-9999.0,-9999.0,"Cu, Au",Sonora,Mexico,Hammarstrom and others (2010)
El Alacran,30.844819187,-110.200946998,Porphyry copper,,60.9,Re-Os molybdenite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo",Sonora,Mexico,Hammarstrom and others (2010)
Cananea,30.954136808,-110.322122272,Porphyry copper,Cu-Mo,59.3,Re-Os molybdenite,7140.0,0.42,0.008,0.012,,Sonora,Mexico,Hammarstrom and others (2010)
Mariquita,31.044522181,-110.42621607,Porphyry copper,,63.0,unknown,100.0,0.45,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
Milpillas,31.113025795,-110.427788529,Porphyry copper,,63.1,Re-Os molybdenite,230.0,0.85,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
El Pilar,31.205766448,-110.673554396,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,,Sonora,Mexico,Hammarstrom and others (2010)
Los Humos,31.231049758,-111.917883004,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Sonora,Mexico,Hammarstrom and others (2010)
Four Metals,31.399781388,-110.736993201,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Bisbee,31.431944444,-109.901388889,Porphyry copper,,180.0,unknown,346.6,0.656,-9999.0,0.016,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sunnyside,31.451111111,-110.746111111,Porphyry copper,,-9999.0,not dated,180.0,0.61,0.02,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Ventura,31.461567722,-110.771269592,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Red Mountain,31.49,-110.72,Porphyry copper,,60.0,unknown,570.0,0.63,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Two Peaks,31.768055556,-110.461944444,Porphyry copper,,74.0,unknown,29.0,0.3,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Turquoise,31.77391992,-109.824007502,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Arizona,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
