name,latitude,longitude,deposit_type,deposit_subtype,age_ma,age_method,tonnage_mt,cu_pct,mo_pct,au_g_t,major_commodities,state_prov,country,reference
Delcer Buttes,40.369694433,-115.084798239,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Fish Creek,40.416666667,-117.216666667,Porphyry copper,,89.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Bingham,40.529166667,-112.153888889,Porphyry copper,,37.0,Re-Os,3230.0,0.882,0.053,0.38,Cu,Utah,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Copper Canyon,40.546944444,-117.126666667,Porphyry copper,Cu-Au,38.0,unknown,56.8,0.48,-9999.0,0.77,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Buffalo Valley,40.605237466,-117.249623588,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Buckingham-Copper Basin,40.611758318,-117.05173177,Porphyry copper,Cu-Mo,88.0,K-Ar,962.0,0.05,0.06,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Park Premier,40.625,-111.379722222,Porphyry copper,,33.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Utah,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Elder Creek,40.6875,-117.083333333,Porphyry copper,,38.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Contact,41.766944444,-114.766944444,Porphyry copper,,150.0,unknown,55.8,0.77,-9999.0,-9999.0,Cu,Nevada,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Caribou Mountain,43.093055556,-111.323055556,Porphyry copper,,50.0,unknown,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Idaho,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Kirwin,43.870973424,-109.288049015,Porphyry copper,Cu-Mo,40.0,unknown,118.0,0.76,0.02,0.03,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Yellow Ridge,43.903591489,-109.337094815,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Robinson Creek,43.9957794,-109.781591452,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Stinkingwater,44.019333285,-109.630452245,Porphyry copper,,28.0,unknown,59.0,0.35,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Silver Creek,44.026172981,-109.673429517,Porphyry copper,,40.0,unknown,54.0,0.31,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Cumo,44.03495184,-115.783608632,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",Idaho,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Clouds Home Peak,44.254111396,-109.726640507,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Eagle Creek,44.382678997,-110.0015796,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sunlight,44.624710221,-109.752944126,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Wyoming,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
New World,45.06652132,-109.959940941,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Goose Lake,45.114812985,-109.910092231,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Independence,45.215293396,-110.217875504,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Emigrant,45.264110977,-110.651163024,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Bobcat Gulch,45.356388889,-113.993888889,Porphyry copper,,-9999.0,not dated,54.4,0.5,-9999.0,-9999.0,Cu,Idaho,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Gold Hill,45.602694822,-109.935979925,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Continental/Butte,46.017222222,-112.511111111,Porphyry copper,Cu-Mo,60.0,unknown,5220.0,0.673,0.028,0.042,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Radersburg,46.183632145,-111.657380034,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Morning Glory,46.31168505,-111.66954129,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Beavertown,46.340315984,-112.079494834,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Golconda,46.341507205,-111.996477749,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Margaret,46.356388889,-122.080833333,Porphyry copper,,16.0,unknown,523.0,0.36,0.011,0.24,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Chessman,46.471275012,-112.179653769,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Rochester,46.887508567,-112.567632445,Porphyry copper,,-9999.0,not dated,-9999.0,-9999.0,-9999.0,-9999.0,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Heddleston,47.025833333,-112.36,Porphyry copper,,46.0,unknown,302.0,0.36,0.005,0.053,Cu,Montana,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Middle Fork,47.5,-121.366666667,Porphyry copper,,25.0,unknown,93.0,0.41,0.02,-9999.0,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
North Fork Snoqualmie River,47.6775,-121.636388889,Porphyry copper,,18.0,unknown,128.0,0.68,0.0082,0.1,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Sunrise,48.008611111,-121.503611111,Porphyry copper,Cu-Mo,28.0,unknown,63.9,0.35,0.026,0.023,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Mount Tolman,48.055722436,-118.695358157,Porphyry copper,Cu-Mo,-9999.0,Geologic inference,2400.0,0.09,0.056,-9999.0,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Glacier Peak,48.197777778,-120.979166667,Porphyry copper,,21.0,unknown,1710.0,0.334,0.015,-9999.0,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Gold Mountain,48.215833333,-121.334166667,Porphyry copper,,-9999.0,not dated,40.0,0.5,-9999.0,-9999.0,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Mazama,48.614722222,-120.381944444,Porphyry copper,,88.0,unknown,135.0,0.36,0.006,0.03,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Kelsey,48.988035747,-119.471211333,Porphyry copper,,179.0,unknown,285.0,0.281,0.0147,-9999.0,Cu,Washington,United States,U.S. Geological Survey National Mineral Resource Assessment Team (2002)
Lexington-Lone Star,49.011706107,-118.615314604,Porphyry copper,Cu-Au,57.0,K-Ar,19.5,0.56,-9999.0,0.55,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
King Edward,49.107205978,-119.812014844,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Katie,49.148106257,-117.3369144,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Zn",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Giant Copper AM Breccia,49.163605844,-121.02471507,Porphyry copper,Cu-Mo,22.0,K-Ar,29.5,0.65,0.007,0.011,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Giant Copper No. 1,49.170605844,-121.027815072,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Ag, Pb, Zn",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Prince,49.17170596,-120.002214895,Porphyry molybdenum-copper,,168.0,U-Pb,-9999.0,-9999.0,-9999.0,-9999.0,"Mo, Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Invermay,49.177775844,-121.031405075,Porphyry copper,Cu-Au,22.0,Inferred from K-Ar age for Giant Copper AM Breccia,15.33,0.21,-9999.0,0.38,"Ag, Zn, Pb",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Hecate Bay,49.247805276,-125.956915865,Porphyry copper,,49.0,Inferred from K-Ar age for Catface,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Catface,49.256405273,-125.980815871,Porphyry copper,,49.0,K-Ar,308.0,0.37,0.007,0.05,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Irishman Creek,49.265805273,-125.986915874,Porphyry copper,,49.0,Inferred from K-Ar age for Catface,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Reco,49.285305905,-120.54531502,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Marquis of Lorne,49.291905909,-120.513915016,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Whipsaw,49.293305881,-120.759415059,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
ILK,49.293905904,-120.555615024,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Friday Creek,49.300005904,-120.560615026,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Jennie Silkman,49.312805911,-120.508115021,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Deep Gulch,49.314205905,-120.55721503,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Oriole,49.31860591,-120.513915023,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Fraser,49.331705907,-120.548915033,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Copper Mountain,49.339405907,-120.556115036,Porphyry copper,Cu-Au,204.0,U-Pb zircon,455.7,0.38,0.001,0.26,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Voigt,49.339705913,-120.500815027,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Virginia,49.340605912,-120.511915029,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Alabama,49.342505911,-120.518915031,Porphyry copper,,195.0,K-Ar biotite,29.0,0.35,-9999.0,0.16,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
June Bug,49.345005912,-120.516115031,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Oronoco,49.345605909,-120.536115034,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Duke of York,49.346705908,-120.544415036,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Ray,49.349705908,-120.548615038,Porphyry copper,,204.0,Inferred from U-Pb zircon age for Copper Mountain,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
WEL,49.37500587,-120.896915104,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Jay,49.386406078,-119.068114784,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Lynx,49.388306048,-119.337814834,Porphyry copper,,54.0,K-Ar hornblende,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Bud - South zone,49.424705922,-120.457215042,Porphyry copper,,193.0,U-Pb zircon,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Bud - North zone,49.444705926,-120.434715043,Porphyry copper,,193.0,U-Pb zircon,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Star,49.448617273,-117.363625483,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Au, Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Miner,49.476405923,-120.474215059,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
G.E.,49.486105926,-120.458315058,Porphyry copper,,205.0,Inferred from U-Pb zircon age for Afton,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Gambier Island,49.51450559,-123.36921555,Porphyry copper,Cu-Mo,-9999.0,Geologic inference,114.0,0.29,0.018,0.03,"Cu, Mo, Zn",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
HED,49.517805978,-120.013614989,Porphyry copper,Cu-Mo,193.0,U-Pb zircon,22.99,0.161,0.04,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Lucky,49.543605931,-120.43311507,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
IXL,49.544728161,-118.410014706,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Pb",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Rats,49.561393929,-120.46557008,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Zn, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Tex,49.629727484,-124.311682728,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Rita,49.630605931,-120.478115101,Porphyry copper,,97.0,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag, Zn",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Independence,49.638105875,-120.967215188,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Zn",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Axe South zone,49.641105926,-120.526115112,Porphyry copper,,205.0,Inferred from U-Pb zircon age for Afton,37.2,0.48,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Pip,49.645305928,-120.513115111,Porphyry copper,,200.0,Inferred from K-Ar biotite age for Axe-Primer,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Axe,49.652227926,-120.526126115,Porphyry copper,,205.0,Inferred from U-Pb zircon age for Afton,116.7,0.43,0.012,-9999.0,"Cu, Mo, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Axe West zone,49.654505925,-120.542215119,Porphyry copper,,205.0,Inferred from U-Pb zircon age for Afton,5.8,0.47,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Empress,49.670805968,-120.175615059,Porphyry molybdenum-copper,,166.0,Pb-Pb zircon,-9999.0,-9999.0,-9999.0,-9999.0,"Mo, Cu",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Gem Lake,49.684405356,-125.410815908,Porphyry copper,,49.0,Inferred from K-Ar age for Catface,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Pine (Axe-Primer),49.697505921,-120.59811514,Porphyry copper,,200.0,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Lori,49.709505651,-122.923615533,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Rum,49.73420593,-120.532515139,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Coke,49.745605931,-120.532515142,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Man,49.750605937,-120.482515135,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Primer South zone,49.756105939,-120.460015132,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Murex,49.761105378,-125.250015906,Porphyry copper,,35.0,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Mount Washington Copper,49.763305372,-125.302215914,Porphyry copper,,35.0,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Primer North zone,49.767805938,-120.474715138,Porphyry copper,,-9999.0,Geologic inference,23.0,0.7,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Log,49.78000593,-120.554215155,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Siwash,49.82170595,-120.394215139,Porphyry copper,,200.0,Inferred from K-Ar biotite age for Axe-Primer,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Thalia,49.836905931,-120.567215173,Porphyry copper,,200.0,Inferred from K-Ar biotite age for Axe-Primer,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Brenda,49.877805998,-120.005615086,Porphyry molybdenum-copper,Cu-Mo,195.0,U-Pb zircon,227.0,0.16,0.039,0.013,"Mo, Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Camp Lake,49.906949339,-125.615572001,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Hi-Mars,49.940605491,-124.359215823,Porphyry copper,,-9999.0,Geologic inference,82.0,0.3,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Big Kidd,49.943305933,-120.596115208,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Blue Jay,49.980805935,-120.598615219,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Okeover,50.000005456,-124.666681887,Porphyry copper,,-9999.0,Geologic inference,86.8,0.31,0.014,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Dobbin,50.002806031,-119.77831508,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Pt, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Uebell,50.031705199,-126.812516207,Porphyry copper,,38.0,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
OK,50.04190546,-124.651115897,Porphyry copper,,-9999.0,Geologic inference,143.0,0.24,0.009,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Copper Canyon,50.173105874,-121.204415378,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Turlight,50.193105944,-120.60941528,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Ag, Au",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Lois,50.258905108,-127.616416384,Porphyry copper,,154.0,K-Ar biotite,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Zn",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Clapper,50.292205946,-120.636915313,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Dot,50.321705923,-120.849415359,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Au, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Wiz,50.335005922,-120.861415365,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Rey Lake,50.33830594,-120.710815339,Porphyry copper,,69.0,K-Ar(?),46.862,0.17,0.018,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Rateria,50.366393912,-120.95751539,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Owl Creek A zone,50.380005699,-122.758071697,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Yubet,50.380005913,-120.958115394,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,-9999.0,-9999.0,-9999.0,-9999.0,Cu,British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Owl Creek C zone,50.398061696,-122.794737708,Porphyry copper,,-9999.0,Geologic inference,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Ann,50.423105911,-120.987215412,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,43.38,0.27,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
IDE-AM,50.425805911,-120.994715414,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,11.48,0.27,0.005,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Highmont,50.43170591,-120.998115416,Porphyry copper,Cu-Mo,210.0,U-Pb zircon,265.0,0.266,0.041,0.004,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Highmont West,50.43700591,-121.007515419,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Jericho,50.444505921,-120.913615405,Porphyry copper,,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,-9999.0,-9999.0,-9999.0,-9999.0,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
Lornex,50.450305906,-121.043115429,Porphyry copper,Cu-Mo,208.0,Inferred from U-Pb zircon age for Highland Valley Copper,514.0,0.427,0.015,0.006,"Cu, Mo, Ag",British Columbia,Canada,"Mihalasky and others (2011, revised 2013)"
