present_lon,present_lat,age (Ma),subducted_carbonates_volume (m),carbonate_thickness (m),convergence_obliquity (degrees),convergence_rate (cm/yr),convergence_rate_parallel (cm/yr),crustal_thickness_mean (m),Prospectivity Score,deposit,mineralization_age
-121.0,48.0,0,198.35902,98.767525,-12.069478998516075,4.208975677504276,-0.8800870321367253,46597.91796875,0.01607406,Glacier Peak,21.0
-120.91495223728788,48.31814788788036,2,223.441,166.21747,5.913231362006945,4.231817908158469,0.4359713669118329,42887.8828125,0.029273016,Glacier Peak,21.0
-121.12159758262462,48.22738997254639,3,180.67343,169.2467,6.372145872693351,4.248582100655604,0.4715322940304485,43990.4375,0.013239666,Glacier Peak,21.0
-120.83127826555616,48.142038579181666,4,240.88602,145.78444,-10.238547431856928,4.276677524827883,-0.7601659453487489,45829.51953125,0.014648407,Glacier Peak,21.0
-121.03772870057811,48.05282973132741,5,204.0934,142.51913,-9.781379361706964,4.292824007333506,-0.7293046125418017,47346.91796875,0.014264821,Glacier Peak,21.0
-120.9874599279326,48.381229770821406,7,736.6762,164.66992,-23.47596707920835,4.457521090193704,-1.77571757957176,49296.78125,0.03600793,Glacier Peak,21.0
-121.20165298300488,48.29229990394399,8,868.77655,180.0,-23.6726666493219,4.467105793787668,-1.7935917021294858,48639.26953125,0.037478145,Glacier Peak,21.0
-120.92337360251638,48.21555531589762,9,1013.51306,181.23802,-23.869797934974475,4.476360532249816,-1.8114022801831355,48621.8828125,0.04951206,Glacier Peak,21.0
-121.13734780197184,48.12816867454415,10,1030.2368,192.13594,-25.76500682551973,4.453566865185404,-1.935881575671805,47861.48828125,0.013061331,Glacier Peak,21.0
-120.78140977892016,48.047312591515954,11,468.89218,193.55699,-25.2780747997437,4.013175119355335,-1.7136734107832434,48238.3984375,0.030257208,Glacier Peak,21.0
-120.9530997911898,47.956028129320536,12,467.5172,190.28336,-24.73456734616576,4.026635602338621,-1.6848051922739264,47565.171875,0.07967809,Glacier Peak,21.0
-121.16016831485254,48.36427916734929,13,488.0541,187.62143,-7.15338017516457,4.030836478831979,-0.5019436964780616,46556.3984375,0.22271033,Glacier Peak,21.0
-120.84571610592629,48.28933120091877,14,524.446,185.2203,-6.610482661665425,4.0435781107864095,-0.4654922359939292,49491.44921875,0.28385964,Glacier Peak,21.0
-121.01939297906507,48.1989651059999,15,483.56985,183.62581,-15.316597870174473,4.474035012028218,-1.1818273505295134,47455.33984375,0.8579689,Glacier Peak,21.0
-121.19590151516556,48.10853456704263,16,383.34375,184.9972,-15.441771262965752,4.481816077614039,-1.1933234942070576,46656.8515625,0.8752469,Glacier Peak,21.0
-120.88748221727349,48.03656606068707,17,349.39294,180.36931,-15.568003540481923,4.489229857323688,-1.2048280690405209,47068.89453125,0.8996575,Glacier Peak,21.0
-120.8046379287496,48.37653621395969,19,437.0241,202.37112,-15.823648728448296,4.502953294201506,-1.227853495526432,47272.13671875,0.92913824,Glacier Peak,21.0
-120.98388268920634,48.28784231778326,20,631.5505,233.96269,-8.516060730639127,6.741078166373324,-0.998263608601982,47081.1875,0.99563783,Glacier Peak,21.0
-121.17922193869995,48.19814013087302,21,652.6659,213.95403,-8.381918310411763,6.906535759172677,-1.006771393174023,46200.734375,0.99041766,Glacier Peak,21.0
-120.89686792756568,48.13909307242798,22,818.3965,250.28168,-8.741792363241286,6.815888012136934,-1.035890939324394,48958.33203125,0.9896925,Glacier Peak,21.0
-121.0953813528894,48.05855125039729,23,879.44403,231.80305,-9.104176463500163,6.725656850074031,-1.0642009687402312,46355.25,0.98940474,Glacier Peak,21.0
-121.07368402885216,48.421922144057824,25,844.48486,280.14612,-7.295997812515605,7.363831178627541,-0.935172119979927,47133.125,0.968284,Glacier Peak,21.0
-120.80060790387012,48.36916020107154,26,865.84894,300.5053,-2.456678121091841,8.068181191560194,-0.3458343991231353,47607.94140625,0.8980686,Glacier Peak,21.0
-121.00498245583933,48.29082628663615,27,615.3825,302.91257,2.281110927499233,9.033384026556146,0.3595501786418508,47201.20703125,0.8580938,Glacier Peak,21.0
-121.20902197709026,48.212648420614826,28,580.1536,185.64914,4.464555255685712,10.450565142778036,0.8134966570293434,46779.21484375,0.9967276,Glacier Peak,21.0
-120.93813816829804,48.16443298930096,29,580.65424,184.17198,4.978636256947713,11.032810179090578,0.957474575091696,47725.47265625,0.9865194,Glacier Peak,21.0
-121.14235908044846,48.08755208430112,30,504.6439,227.15477,3.850205184505038,11.032413787430164,0.740806663078504,47037.53125,0.9072489,Glacier Peak,21.0
-121.00430883421744,48.055402274967584,31,349.10107,152.14294,3.244426850804844,11.375854533019584,0.6438241538720931,47898.125,0.5792544,Glacier Peak,21.0
-120.86734089616378,48.02489834597424,32,487.99884,204.30731,-14.355937055685493,11.359871943834166,-2.8166226670454573,48373.921875,0.90840966,Glacier Peak,21.0
-121.03150926208988,47.98131020923078,35,212.88857,127.00697,-26.819519576853708,8.918467010817116,-4.023848228371648,47568.83984375,0.25118443,Glacier Peak,21.0
-120.94979065722173,47.99452632889209,36,49.04695,0.0,-28.75459920147208,7.908454988467272,-3.804434581468206,47721.79296875,0.0012879764,Glacier Peak,21.0
-120.86894440495216,48.00921843239135,37,167.7003,120.641205,-21.74963357192909,7.843266340798987,-2.9063340872128154,47797.0078125,0.15357977,Glacier Peak,21.0
-121.10342193866578,48.02212127046936,40,137.0049,111.84056,-40.09608171217784,5.818231818129752,-3.7473562329570096,46530.57421875,0.0932401,Glacier Peak,21.0
