RefNo,ResultNo,RockName,Year,Authors,Title,Journal,Volume,Pages,Continent,RockType,LowAge,HighAge,LoMagAge,HiMagAge,SLat,SLon,PLat,PLon,DP,DM,Dec,Inc,K,A95,B,N,QSUM,Q1,Q2,Q3,Q4,Q5,Q6,Q7,RSUM,R1,R2,R3,R4,R5,R6,R7,Component,Tests,Tilt,PType,DemagCode,Treatment,Method,Terrane,StratAge,RLat,RLon,Comments
4410,10348,Punta Grohmann Section,2024,"Maron, M., Muttoni, G., Mietto, P., Gianolla, P.","Magnetostratigraphy of the Punta Grohmann section (Dolomites, Italy): improving the chronology of the Ladinian/Carnian boundary",Palaeogeog.Palaeoclim.Palaeoecol.,639,112077,Europe,sediments,235,239,235,239,46.5,11.75,66.1,177.1,6.6,10.9,6.4,40.5,5.5,9,56,,3,1,0,1,0,0,0,1,3,1,0,1,0,0,0,1,,R-,100,D,4,T,"U-Pb(z), magnetostratigraphy, fossils",,T2-3,46.5,11.75,
4411,10349,Tulsipur Section,2024,"Khatri, D.B., Zhang, W., Fang, X., Meng, Q., Zhang, D., Zhang, T., Yan, M., Xie, Y., Paudayal, K.N.","Magnetostratigraphy of the Late Cretaceous to Early Eocene sediments from the Tulsipur section, western Nepal: Tectonic implications for the Indian northern passive margin",Palaeogeog.Palaeoclim.Palaeoecol.,647,112207,Asia,sediments,54,68,54,68,28.2,82.2,67.6,173.2,7.9,12.7,25,43.7,1.8,10.2,219,,3,1,0,1,0,0,0,1,3,1,0,1,0,0,0,1,,R-,100,D,4,AT,"magnetostratigraphy, fossils",,K2-E2,28.2,82.2,
4405,10343,Wutumeiren and Dulan Volcanics,2024,"Wang, B., Huang, B., Yang, Z., Zhang, G., Liu, X., Duan, L., Armstrong, R. A., Meng, Q.",Palaeomagnetic results from Early Mesozoic strata in the Qaidam Basin and their implications for the formation of the Northern China Domain,Geophys.J.Int.,236,1621-1635,Asia,extrusives,236,243,236,243,36.4,98.2,57.6,178.2,4,4,40.2,54.6,65.3,3.4,28,166,5,1,1,1,1,0,0,1,5,1,1,1,1,0,0,1,,"F+,R-",100,V,4,AT,U-Pb(z),Qaidam,T2,36.4,98.2,
4412,10350,Maieberg Cap Carbonate,2024,"Pescarini, T., Trindade, R.I.F., Hoffman, P.F., Sant’Anna, L.C.",Paleomagnetic investigation of the basal Maieberg Formation (Namibia) cap carbonate sequence (635 Ma): Implications for Snowball Earth postglacial dynamics,Geol.Soc.Amer.Bull.,136,4775-4797,Africa,"sediments, limestones, dolostones",630,640,630,640,-19.3,14,45.4,132,7,10,47.7,-52.8,21.2,7.3,13,19,6,1,0,1,1,1,1,1,6,1,0,1,1,1,1,1,C1,"F+,R+",100,D,4,T,"correlation, APWP",Congo,NP2,-19.3,14,
4405,10344,Jurassic Sediments,2024,"Wang, B., Huang, B., Yang, Z., Zhang, G., Liu, X., Duan, L., Armstrong, R. A., Meng, Q.",Palaeomagnetic results from Early Mesozoic strata in the Qaidam Basin and their implications for the formation of the Northern China Domain,Geophys.J.Int.,236,1621-1635,Asia,sediments,161,185,161,185,37,96.4,65.8,197.6,7.8,7.8,27.4,48,30.8,7.9,12,81,5,1,1,1,0,0,1,1,5,1,1,1,0,0,1,1,,"Fo,Rc",100,V,4,T,fossils,Qaidam,J2,37,96.4,
4425,10368,Qijiaojing Formation,2024,"Xu, W., Song, B., Wang, B., Shi, J., Zhao, Y., Zhang, H., Wei, J., Han, X., Ye, X., Wei, X.",New paleomagnetic and geochronologic results from late Paleozoic rocks in the Turfan-Hami block (NW China) and implications for the geodynamic evolution of the western Altaids,Geol.Soc.Amer.Bull.,136,2195-2213,Asia,"extrusives, sediments",308,317,308,318,43.53,91.87,44.4,177.3,8,8,236.6,-50.3,33.5,6.5,16,111,5,1,1,1,1,0,0,1,5,1,1,1,1,0,0,1,,F+,100,V,5,AT,"U-Pb(z), fossils",Turfan-Hami,C2,43.53,31.87,
4412,10351,Maieberg Cap Carbonate,2024,"Pescarini, T., Trindade, R.I.F., Hoffman, P.F., Sant’Anna, L.C.",Paleomagnetic investigation of the basal Maieberg Formation (Namibia) cap carbonate sequence (635 Ma): Implications for Snowball Earth postglacial dynamics,Geol.Soc.Amer.Bull.,136,4775-4797,Africa,"sediments, limestones, dolostones",630,640,510,530,-19.3,14,34.3,358,4.2,6,344.7,-19.3,44,4.3,2,18,3,0,0,1,0,1,0,1,3,0,0,1,0,1,0,1,C2,F-,0,D,4,T,"correlation, APWP",Congo,NP2,-19.3,14,Low-temperature authigenic magnetite formation at ca.520 Ma suggested
4401,10338,Luanshigou Formation,2024,"Liu, Y., Zhang, S., Li, H., Yang, K., Zhang , N., Li, H., Wang, Z., Yang, T., Wu, H.","New paleomagnetic results from the late Mesoproterozoic Luanshigou Formation, Shennongjia Group in south China and their implications for the pre‐Grenvillian connections between south China blocks and southwestern Laurentia",J.Geophys.Res.Solid Earth,129,e2023JB027411,Asia,"sediments, redbeds",1258,1275,1258,1275,31.447,110.326,25,248.5,2.3,4,220.2,37.3,87.7,3.4,21,241,6,1,1,1,1,1,0,1,6,1,1,1,1,1,0,1,HTC,"C*+,Rb",100,D,4,T,"Re-Os,stratigraphy",South China,MP,31.447,110.326,"Inclination shallowing (E/I) corrected by author (f=0.65): D=219.6, I=48.3, PLAT=18.5, PLONG=254.4, Dp=1.6, Dm=2.5"
4424,10367,Abushan Formation,2024,"Ma, J., Yang, T., Peng, W., Bian, W., Wang, S., Han, F., Liang, J., Jiao, X., Jin, J., Zhang, S., Wu, H., Li, H., Ma, Y.",New Late Cretaceous paleomagnetic and geochronologic results from the southern Qiangtang Terrane: Contributions to the reliability of redbed paleomagnetic datasets from the Tibetan Plateau and shape of the Qiangtang Terrane,Geol.Soc.Amer.Bull.,136,1769-1786,Asia,"sediments, redbeds",83,90,83,90,32.3,91.4,78.2,266.8,3.6,3.6,0.9,36.4,43.6,3.6,37,262,6,1,1,1,1,1,0,1,5,1,0,1,1,1,0,1,HTC,"G+,F+",100,V,4,T,"correlation, detrital zircons",Qiangtang,K2,32.3,91.4,
4423,10366,Jiushidaoban Formation,2024,"Cheng, X., Wei, B., Jiang, N., Zhou, Y., Kravchinsky, V.A., Chen, Q., Xing, L., Zhang, D., Li, T., Lan, S., Deng, X., Liu, F., Wu, H.",Evolution of the North Qiangtang Block in the late Paleozoic: Paleomagnetism and its tectonic implications,Geol.Soc.Amer.Bull.,136,707-724,Asia,"sediments, limestones",264,273,264,273,33.96,91.81,16.6,26.3,9.9,9.9,271.2,47.8,41.5,9.5,7,57,5,1,1,1,0,1,0,1,4,1,0,1,0,1,0,1,HTC,Fo,100,V,5,AT,stratigraphic,Qiangtang,P2,33.96,91.81,
4414,10353,Xuanlong Ironstone,2024,"Cai, Y., Zhang, S-H., Pei, J., Tong, Y., Zhou, Z.",Paleomagnetic constraints on the primary iron minerals of the late Paleoproterozoic Xuanlong-type ironstone in the North China Craton,Earth Planet.Sci.Letters,647,119013,Asia,"metamorphics, ironstones",1640,1650,1640,1650,40.7,115.4,51,197,5.5,7.7,50.1,54.4,22.2,5.5,44,44,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,HTC,"F+,Rc",100,D,4,T,"correlation, U-Pb(z)",North China,PP,40.7,115.4,
4443,10394,Jialazi Formation,2024,"Ma, X., Li, Y., Tan, X., Li, S., Cheng, J., Li, Z., Huang, S.","A paleomagnetic study of the late Paleocene sedimentary succession in the Xigaze forearc basin, Southern Tibet, and its tectonic implications",J.Asian Earth Sci.,275,106277,Asia,"sediments, limestones, sandstones",56,59,56,59,29.8,84.9,30.5,233,3.6,6,29.5,-39.6,15.2,5,56,56,5,1,1,1,1,0,0,1,4,1,0,1,1,0,0,1,HTC,F+,100,D,4,T,"fossils, detrital zircons",Lhasa,E1,29.8,84.9,When 130-degrees CW rotation applied and combined with RESULTNO 10393 – see RESULTNO 10395
4374,10305,Virei Dykes,2024,"Salminen, J., Evans, D.A.D., Trindade, R.I.F., Hanson, R., Söderlund, U., Ernst< R.E., Klausen, M.B., Fieldhouse, I.",Congo-São Francisco craton in Paleoproterozoic-Mesoproterozoic supercontinent Nuna,Precambrian Res.,406,107380,Africa,intrusives,1380,1390,1380,1390,-15.966,12.8168,38.5,237.3,23.2,23.2,309.2,-60.4,7.9,16.5,12,70,3,1,0,1,0,1,0,0,3,1,0,1,0,1,0,0,,"Co,Ro",0,V,4,AT,U-Pb(b),Congo,MP,-15.966,12.8168,
4423,10365,Nayixiong Formation,2024,"Cheng, X., Wei, B., Jiang, N., Zhou, Y., Kravchinsky, V.A., Chen, Q., Xing, L., Zhang, D., Li, T., Lan, S., Deng, X., Liu, F., Wu, H.",Evolution of the North Qiangtang Block in the late Paleozoic: Paleomagnetism and its tectonic implications,Geol.Soc.Amer.Bull.,136,707-724,Asia,extrusives,248,255,248,255,33.87,91.92,6.1,8.7,2.9,2.9,271.4,17.5,42.9,3.9,33,248,6,1,1,1,1,1,0,1,5,1,0,1,1,1,0,1,HTC,"G+,F+",100,V,4,T,U-Pb(z),Qiangtang,P3,33.87,91.92,
