RefNo,ResultNo,RockName,Year,Authors,Title,Journal,Volume,Pages,Continent,RockType,LowAge,HighAge,LoMagAge,HiMagAge,SLat,SLon,PLat,PLon,DP,DM,Dec,Inc,K,A95,B,N,QSUM,Q1,Q2,Q3,Q4,Q5,Q6,Q7,RSUM,R1,R2,R3,R4,R5,R6,R7,Component,Tests,Tilt,PType,DemagCode,Treatment,Method,Terrane,StratAge,RLat,RLon,Comments
3809,9456,South Taimyr Sills,2005,"Walderhaug, H.J., Eide, E.A., Scott, R.A., Inger, S., Golionko, E.G.","Palaeomagnetism and 40Ar/39Ar geochronology from the South Taimyr igneous complex, Arctic Russia: a Middle-Late Triassic magmatic pulse after Siberian flood-basalt volcanism",Geophys.J.Int.,163,501-517,Asia,"intrusives, dolerites",226,233,226,233,74.8,100.6,47.1,121.6,4.8,5.3,150,74,241,2.9,11,82,6,1,1,1,1,1,0,1,6,1,1,1,1,1,0,1,,F+,100,D,4,AT,40Ar/39Ar,Taimyr,T2,74.8,100.6,
4079,9881,Devonian Redbeds,2005,"Gurevich, E.L., Khramov, A.N., Rodionov, V.P., Fedorov, P.V.",Paleomagnetism of Ordovician and Devonian sedimentary rocks in the northwest of the Russian platform: New constraints on the Baltica kinematics in the Paleozoic and the remagnetization in the Permian-Triassic,"Izvestiya, Physics of the Solid Earth",41,555-570,Europe,"sediments, redbeds",372,383,372,383,59.9,32.7,10.8,136.3,2.2,4.5,72.9,5.3,90,4.4,,11,5,1,0,1,1,1,0,1,5,1,0,1,1,1,0,1,+PD component,G*+,100,D,4,T,stratigraphic,Baltica,D3,59.9,32.7,
4014,9784,Kuznetsk Traps,2005,"Kazansky, A.Yu., Metelkin, D.V., Bragin, V.Yu., Kungurtsev, L.V.","Paleomagnetism of the Permian-Triassic Traps from the Kuznetsk Basin, Southern Siberia",Russian Geology and Geophysics,46,1107-1120,Asia,extrusives,247,251,247,251,54.4,87.1,60,172.7,3.6,4.5,227.1,-64.3,95.8,2.8,4,29,5,1,1,1,1,0,0,1,4,1,0,1,1,0,0,1,,"C+,F+",100,D,4,AT,40Ar/39Ar,Altai-Sayan,P3-T1,54.4,87.1,Some gr.circles used
3808,9455,Afro-Arabian Traps,2005,"Riisager, P., Knight, K.B., Baker, J.A., Peate, I.U., Al-Kadasi, M, Al-Subbary, A., Renne, P.R.
Li, Y., Wang, W-M.",Paleomagnetism and 40Ar/ 39Ar Geochronology of Yemeni Oligocene volcanics: Implications for timing and duration of Afro-Arabian traps and geometry of the
Paleomagnetism and 40Ar/ 39Ar Geochronology of Yemeni Oligocene volcanics:,Earth Planet.Sci.Letters,237,647-672,Asia,"extrusives, basalts",28,30,28,30,15.3,44.2,74.2,249.1,3.6,3.6,353.4,1.8,16,5.1,48,489,7,1,1,1,1,1,1,1,6,1,1,0,1,1,1,1,,"F+,Rc",100,V,4,AT,40Ar/39Ar,,E3,15.3,44.2,
3682,9261,Autunian Redbeds,2005,"Merabet, N., Henry, B., Kherroubi, A., Maouche, S.",Autunian age constrained by fold tests for paleomagnetic data from the Mezarif and Abadla basins (Algeria),J.Afr.Earth Sci.,43,556-566,Africa,"sediments, redbeds",284,299,284,299,31.3,-2.2,29.3,237.3,1.4,2.7,130.8,14,155,2.6,8,213,6,1,1,1,1,1,0,1,5,1,0,1,1,1,0,1,,F+,100,D,4,T,fossils,West Africa,P1,31.3,-2.2,"Combined RESULTNOS 8422,9260; regional fold test"
3682,9260,Autunian Redbeds,2005,"Merabet, N., Henry, B., Kherroubi, A., Maouche, S.",Autunian age constrained by fold tests for paleomagnetic data from the Mezarif and Abadla basins (Algeria),J.Afr.Earth Sci.,43,556-566,Africa,"sediments, redbeds, mudstones",284,299,284,299,31.4,-1.5,29.4,236.4,2,3.9,131.8,15.7,196,3.8,7,117,5,1,1,1,0,1,0,1,4,1,0,1,0,1,0,1,,Fo,100,D,4,T,fossils,West Africa,P1,31.4,-1.5,
3935,9650,Tergen Formation,2005,"Cogné, J.P., Kravchinsky, V.A., Halim, N., Hankard, F.",Late Jurassic–Early Cretaceous closure of the Mongol-Okhotsk Ocean demonstrated by new Mesozoic palaeomagnetic results from the Trans-Baıkal area (SE Siberia),Geophys.J.Int.,163,813-832,Asia,"extrusives, basalts, andesites",146,161,146,161,51.7,117.4,58.9,327.3,2.4,4,343.7,40.6,407.7,3.3,6,49,4,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,,Fo,100,D,4,T,stratigraphic,Amur,J3,51.7,117.4,
3935,9651,Kremljevka Formation,2005,"Cogné, J.P., Kravchinsky, V.A., Halim, N., Hankard, F.",Late Jurassic–Early Cretaceous closure of the Mongol-Okhotsk Ocean demonstrated by new Mesozoic palaeomagnetic results from the Trans-Baıkal area (SE Siberia),Geophys.J.Int.,163,813-832,Asia,"extrusives, basalts",125,133,125,133,51.8,117.5,86.8,61.8,6.8,7.9,355.6,69.7,89.6,4.6,12,71,3,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,,Fo,100,D,4,T,40Ar/39Ar,Amur,K1,51.8,117.5,
3935,9652,Monostoy Basalts,2005,"Cogné, J.P., Kravchinsky, V.A., Halim, N., Hankard, F.",Late Jurassic–Early Cretaceous closure of the Mongol-Okhotsk Ocean demonstrated by new Mesozoic palaeomagnetic results from the Trans-Baıkal area (SE Siberia),Geophys.J.Int.,163,813-832,Asia,"extrusives, basalts",176,200,176,200,51.1,106.8,43.3,131.4,22.7,23.6,105.6,80.6,40,12.2,5,32,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,Fo,100,D,4,T,Rb-Sr,Siberian Platform,J1,51.1,106.8,
3703,9304,Ural  Volcanics,2005,"Verard, Ch., Tait, J.",Paleomagnetic study of Siluro-Devonian volcanic rocks from the central Lachlan Orogen:Implications for the apparent pole wander path of Gondwana,J.Geophys.Res.,110,"B06201, doi:10.1029/2004JB003287",Australia,"extrusives, andesites",408,418,408,418,-33.3649,146.0951,24.4,240.6,1.4,2.5,251.3,30.9,999,2.2,5,25,5,1,1,1,0,1,0,1,4,1,0,1,0,1,0,1,,M,0,D,4,T,U-Pb(zircon),Lachlan Orogen,D1,-33.3649,146.0951,One flow - VGP
4079,9880,Ordovician Limestones,2005,"Gurevich, E.L., Khramov, A.N., Rodionov, V.P., Fedorov, P.V.",Paleomagnetism of Ordovician and Devonian sedimentary rocks in the northwest of the Russian platform: New constraints on the Baltica kinematics in the Paleozoic and the remagnetization in the Permian-Triassic,"Izvestiya, Physics of the Solid Earth",41,555-570,Europe,"sediments, limestones",458,468,458,468,59.9,31.5,-29.1,228.4,11.5,13.1,151.4,72,32,7.4,,11,4,1,0,1,0,1,0,1,3,1,0,0,0,1,0,1,-P component,N,100,D,4,T,stratigraphic,Baltica,O2,59.9,31.5,
4016,9790,Kurchavinskaya and Kruzhilikhinskaya Formations,2005,"Metelkin, D.V., Vernikovsky, V.A., Kazansky, A.Yu., Bogolepova, O.K., Gubanov, A.P.","Paleozoic history of the Kara microcontinent and its relation to Siberia and Baltica: Paleomagnetism, paleogeography and tectonics",Tectonophysics,398,225-243,Asia,"extrusives, sediments",472,501,472,501,78.5,98.2,-26.9,255.4,9.9,13.6,205.7,56.8,51.4,9.4,6,61,6,1,1,1,1,1,0,1,4,1,0,0,1,1,0,1,,F+,100,D,4,AT,fossils,Kara,CB3-O1,78.5,98.2,47 end points + 16 gr.circles
4016,9789,Ushakovskaya and Stroininskaya Formations,2005,"Metelkin, D.V., Vernikovsky, V.A., Kazansky, A.Yu., Bogolepova, O.K., Gubanov, A.P.","Paleozoic history of the Kara microcontinent and its relation to Siberia and Baltica: Paleomagnetism, paleogeography and tectonics",Tectonophysics,398,225-243,Asia,sediments,444,465,444,465,79.6,96.3,-10.1,212,8.8,16.2,66.4,-27.2,38.8,14.9,4,35,5,1,0,1,1,1,0,1,4,1,0,0,1,1,0,1,,F+,100,D,4,T,fossils,Kara,O2-3,79.6,96.3,4 end points + 31 gr.circles
3716,9329,Podolian Sediments,2005,"Iosifidi, A.G., Khramov, A.N., Bachtadse,  V.","Multicomponent magnetization of Vendian sedimentary rocks in Podolia, Ukraine",Russian Journal of Earth Sciences,7(1),1-14,Europe,sediments,542,600,542,600,48.6,27.5,40,276.5,7.5,7.5,131.4,-32.2,,8.9,3,215,6,1,1,1,0,1,1,1,5,0,1,1,0,1,1,1,Component P2,Rc,0,V,4,T,stratigraphic,Baltica,NP3,48.6,27.5,direction recalc. from pole
3896,9583,Bushveld Dykes,2005,"Letts, S., Torsvik, T.H., Webb, S.J., Ashwal, L.D., Eide, E.A., Chunnett, G.",Palaeomagnetism and 40Ar/39Ar geochronology of mafic dykes from the eastern Bushveld Complex (South Africa),Geophys.J.Int.,162,36-48,Africa,"intrusives, dolerites",1639,1659,1639,1659,-24.5,30,8.7,22,18,20.6,165.8,-71.3,42.8,11.8,5,31,4,0,1,1,0,1,1,0,3,0,0,1,0,1,1,0,,"Co,Rc",0,D,4,AT,40Ar/39Ar(pg),Kalahari,PP,-24.5,30,Pole is close to ~2060 Ma poles of Bushveld Complex (host rocks)
3746,9374,Dniestr Sediments,2005,"Jelenska, M., Bakhmutov, V., Konstantinienko, L.","Paleomagnetic and rock magnetic data from the Silurian succession of the Dniester basin, Ukraine",Phys.Earth Planet.Interiors,149,307-320,Europe,"sediments, limestones",416,428,299,359,48.4,26.3,26,176,,,207,21,210.5,6.3,4,15,2,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,IBC,N,0,D,4,A,Stratigraphic,Russian Platform,S2-S4,48.4,26.3,"Carboniferous overprint, APWP of Torsvik et al., 1992"
3746,9373,Dniestr Sediments,2005,"Jelenska, M., Bakhmutov, V., Konstantinienko, L.","Paleomagnetic and rock magnetic data from the Silurian succession of the Dniester basin, Ukraine",Phys.Earth Planet.Interiors,149,307-320,Europe,"sediments, limestones",416,428,251,299,48.4,26.3,46.7,170,8.8,8.8,204.1,-20.4,130.2,10.8,3,39,3,0,1,1,0,1,0,1,3,0,0,1,0,1,0,1,HB,N,0,V,4,AT,Stratigraphic,Russian Platform,S2-S4,48.4,26.3,"Permian overprint, APWP of Torsvik et al., 1992"
3897,9584,Rgaity Formation,2005,"Alexyutin, M.V., Bachtadse, V., Alexeiev, D.V., Nikitina, O.I.","Palaeomagnetism of Ordovician and Silurian rocks from the Chu-Yili and Kendyktas mountains, south Kazakhstan",Geophys.J.Int.,162,321-331,Asia,"sediments, redbeds",444,468,444,468,43.03,74.9,37.7,243.3,8,15.5,9.2,-16.9,26.9,15,5,20,5,1,1,1,1,0,0,1,3,1,0,0,1,0,0,1,Component B,F+,100,D,4,T,stratigraphic,South Kazakhstan,O2-3,43.03,74.9,
3744,9371,Riera de Sant Jaume Section,2005,"Dinares-Turell, J., Diez, J.B., Rey, D., Arnal, I.",“Buntsandstein” magnetostratigraphy and biostratigraphic reappraisal from eastern Iberia: Early and Middle Triassic stage boundary definitions through correlation to Tethyan sections,Palaeogeog.Palaeoclim.Palaeoecol.,229,158-177,Europe,"sediments, redbeds",237,250,237,250,41.43,-1.5,55.1,172.4,1.4,2.7,3.5,13.1,11.3,2.6,,281,5,1,1,1,0,1,0,1,5,1,1,0,0,1,1,1,,Rb,100,D,4,T,"magnetostratigraphic,fossils",Iberia,T1-T2,41.43,-1.5,
3746,9375,Dniestr Sediments,2005,"Jelenska, M., Bakhmutov, V., Konstantinienko, L.","Paleomagnetic and rock magnetic data from the Silurian succession of the Dniester basin, Ukraine",Phys.Earth Planet.Interiors,149,307-320,Europe,"sediments, limestones",416,428,416,428,48.4,26.3,14.3,169.3,7.4,7.4,217.6,34.7,146,10.2,3,21,4,1,0,1,0,1,0,1,4,1,0,1,0,1,0,1,IB,N,0,V,4,A,Stratigraphic,Russian Platform,S2-S4,48.4,26.3,"Pole fit Silurian part of the APWP of Torsvik et al., 1992"
3753,9386,Yen Chau Formation,2005,"Takemoto, K., Halim, N., Otofuji,Y., Tri, T.V., De, L.V., Hada, S.","New paleomagnetic constraints on the extrusion of Indochina: Late Cretaceous results from the Song Da terrane, northern Vietnam",Earth Planet.Sci.Letters,229,273-285,Asia,"sediments, redbeds",65,100,65,100,21.7,103.9,82.9,220.7,6.9,6.9,6.4,32,24.7,8.5,13,75,5,0,1,1,1,1,0,1,5,0,1,1,1,1,0,1,,"F+,Ro",100,V,4,T,fossils,Indochina,K2,21.7,103.9,
3755,9389,Khurmen Uul Lavas,2005,"Hankard, F., Conge, J-P., Kravchinsky, V.","A new Late Cretaceous paleomagnetic pole for the west of Amuria block (Khurmen Uul, Mongolia)",Earth Planet.Sci.Letters,236,359-373,Asia,"extrusives, basalts",88,96,88,96,44,103,71.5,227.2,5.6,8.2,18,51.4,129.3,6,6,77,6,1,1,1,1,1,0,1,5,1,0,1,1,1,0,1,"HTC component, Locality 2",F+,100,D,4,T,K-Ar,Amur,K2,44,103,4 end points + 2 great circles
3720,9330,Baiyisi Volcanics,2005,"Huang,B., Xu,B., Zhang,C., Li,Y., Zhu,R.","Paleomagnetism of the Baiyisi volcanic rocks (ca. 740 Ma) of Tarim, Northwest China: A continental fragment of Neoproterozoic Western Australia?",Precambrian Res.,142,83-92,Asia,extrusives,717,770,717,770,41.6,86.54,-17.7,14.2,3,6,245.2,1.7,124.7,6,6,43,5,1,1,1,0,1,0,1,3,0,0,1,0,1,0,1,Component B,M,100,D,4,AT,U-Pb,Tarim,NP2,41.6,86.54,
3757,9391,Hannuoba Basalts,2005,"Pan, Y., Hill, M.J., Zhu, R.",Paleomagnetic and paleointensity study of an Oligocene–Miocene lava sequence from the Hannuoba Basalts in northern China,Phys.Earth Planet.Interiors,151,21-35,Asia,"extrusives, basalts",15,24,15,24,40.16,112.69,83.7,232.3,5.4,7.5,6.8,56.3,51.6,5.2,16,185,6,1,1,1,0,1,1,1,6,1,1,1,0,1,1,1,,Rc,0,D,4,AT,K-Ar,North China,E3-N1,40.16,112.69,
4016,9788,Samoilovichskaya and Ust’spokoininskaya Formations,2005,"Metelkin, D.V., Vernikovsky, V.A., Kazansky, A.Yu., Bogolepova, O.K., Gubanov, A.P.","Paleozoic history of the Kara microcontinent and its relation to Siberia and Baltica: Paleomagnetism, paleogeography and tectonics",Tectonophysics,398,225-243,Asia,sediments,419,422,419,422,79.6,96.3,10.5,183.5,6.4,12.2,270.8,-21,114.5,11.6,3,31,5,1,0,1,1,1,0,1,4,1,0,0,1,1,0,1,,F+,100,D,4,T,fossils,Kara,S2-3,79.6,96.3,12 end points + 19 gr.circles
4291,10180,Lovejoy Basalt,2005,"Coe, R., Stock, G.M., Lyons, J.J., Beitler, B., Bowen, G.J.",Yellowstone hotspot volcanism in California? A paleomagnetic test of the Lovejoy flood basalt hypothesis,Geology,33,697-700,North America,"extrusives, basalts",15,17,15,17,39.7,-121,74.6,145.3,3,4.2,160.6,-56.5,199,2.9,13,92,4,1,1,1,0,0,0,1,3,1,0,1,0,0,0,1,,N,0,D,4,AT,40Ar/39Ar,,N1,39.7,-121,
3767,9402,Vredefort Impact Dykes,2005,"Carporzen, L., Gilder, S.A., Hart, R.J.",Palaeomagnetism of the Vredefort meteorite crater and implications for craters on Mars,Nature,435,198-201,Africa,"metamorphics, impact dykes",2019,2027,2019,2027,-27.8,27.4,21.1,48.4,4.1,5.7,25,57.2,43,3.9,5,30,4,1,1,1,0,1,0,0,2,1,0,0,0,1,0,0,,N,0,D,4,A,U-Pb(zircon),Kaapvaal,PP,-27.8,27.4,"5 dykes, 12 sites, 30 samples; pole is calculated by administrator"
3767,9403,Vredefort Impact Pseudotachylite,2005,"Carporzen, L., Gilder, S.A., Hart, R.J.",Palaeomagnetism of the Vredefort meteorite crater and implications for craters on Mars,Nature,435,198-201,Africa,"metamorphics, impact pseudotachylite",2019,2027,2019,2027,-27.8,27.4,22.3,45.1,2,2.8,20.8,57.4,285.8,1.9,3,19,3,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,,N,0,D,4,A,U-Pb(zircon),Kaapvaal,PP,-27.8,27.4,pole is calculated by administrator
4454,10417,Upper Cretaceous Marine Strata,2005,"Shen, Z.Y., Chen, H.L., Fang, D.J., Ding, J., Shang, S., Huang, Z., Li, M.","Paleomagnetic results of the Cretaceous marine sediments in Tongyouluke, southwest Tarim",Sci. Chin. Earth Sci. D,48(3),406-416,Asia,sediments,66,100,66,100,38.53,76.24,60.3,190.9,8,13.4,29.1,39.4,22.4,11.2,7,34,5,1,1,1,0,1,0,1,3,0,0,1,0,1,0,1,,Ro,100,D,4,T,stratigraphic,Tarim,K2,38.53,76.24,
4454,10416,Lower Cretaceous Marine Strata,2005,"Shen, Z.Y., Chen, H.L., Fang, D.J., Ding, J., Shang, S., Huang, Z., Li, M.","Paleomagnetic results of the Cretaceous marine sediments in Tongyouluke, southwest Tarim",Sci. Chin. Earth Sci. D,48(3),406-416,Asia,sediments,100,145,100,145,38.53,76.24,63.1,190.3,4.9,8,27,42,41.7,6.5,11,53,6,1,1,1,0,1,1,1,5,0,1,1,0,1,1,1,,Rc,100,D,4,T,stratigraphic,Tarim,K1,38.53,76.24,
4023,9806,Swede Dome Stock,2005,"McCausland, P.J.A., Symons, D.T.A., Hart, C.J.R.","Rethinking ‘‘Yellowstone in Yukon’’ and Baja British Columbia: Paleomagnetism of the Late Cretaceous Swede Dome stock, northern Canadian Cordillera",J.Geophys.Res.,110,"B12107, doi:10.1029/2005JB003742",North America,intrusives,67,71,67,71,64.2,-140.4,78.6,219.5,5.5,5.5,179.9,-82.7,164.8,2.8,17,193,4,1,1,1,0,0,0,1,4,1,0,1,0,0,0,1,,N,0,V,4,AT,"U-Pb(z,t)",Yukon-Tanana,K2,64.2,-140.4,
4022,9805,Ochoco Basin Sediments,2005,"Housen, B.A., Dorsey, R.J.","Paleomagnetism and tectonic significance of Albian and Cenomanian turbidites, Ochoco Basin, Mitchell Inlier, central Oregon",J.Geophys.Res.,110,"B07102, doi:10.1029/2004JB003458",North America,"sediments, turbidites",94,112,94,112,44.5,-120.1,80.4,359.5,4.5,6.1,10.8,58.5,127,4.1,11,51,5,1,1,1,1,0,0,1,4,1,0,1,1,0,0,1,,"C+,G+,F+",100,D,4,AT,fossils,Blue Mountains,K1-2,44.5,-120.1,
3897,9585,Chu-Yili Sediments,2005,"Alexyutin, M.V., Bachtadse, V., Alexeiev, D.V., Nikitina, O.I.","Palaeomagnetism of Ordovician and Silurian rocks from the Chu-Yili and Kendyktas mountains, south Kazakhstan",Geophys.J.Int.,162,321-331,Asia,"sediments, redbeds",398,444,398,444,43.8,75.47,56.7,279.3,7.1,13.4,346.9,23.8,20.8,12.4,8,45,5,0,1,1,1,0,1,1,3,0,1,0,1,0,0,1,Component B,"F+,Ro",100,D,4,T,stratigraphic,South Kazakhstan,S1-D1,43.8,75.47,
3818,9467,"Habur Formation, site 24",2005,"Torsvik, T.H., Pandit, M.K., Redfield, T.F., Ashwal, L.D., Webb, S.J.","Remagnetization of Mesozoic limestones from the Jaisalmer basin, NW India",Geophys.J.Int.,161,57-64,Asia,"sediments, limestones",112,125,112,125,27,111.95,12,300,7,12,302,-47.2,10,14,1,10,4,1,0,1,0,1,0,1,4,1,0,1,0,1,0,1,,N,0,D,4,T,stratigraphy,,K1,27,70.75,
3809,9457,South Taimyr Basalts and Dyke,2005,"Walderhaug, H.J., Eide, E.A., Scott, R.A., Inger, S., Golionko, E.G.","Palaeomagnetism and 40Ar/39Ar geochronology from the South Taimyr igneous complex, Arctic Russia: a Middle-Late Triassic magmatic pulse after Siberian flood-basalt volcanism",Geophys.J.Int.,163,501-517,Asia,"intrusives, extrusives, dolerites, basalts",245,251,245,251,74.8,100.6,59.3,145.8,13.9,14.7,109,78,40,7.8,10,65,5,1,1,1,0,1,0,1,5,1,1,1,0,1,0,1,,"Fo,Ro",100,D,4,AT,40Ar/39Ar,Taimyr,T1,74.8,100.6,
4079,9879,Ordovician Glauconite Limestones,2005,"Gurevich, E.L., Khramov, A.N., Rodionov, V.P., Fedorov, P.V.",Paleomagnetism of Ordovician and Devonian sedimentary rocks in the northwest of the Russian platform: New constraints on the Baltica kinematics in the Paleozoic and the remagnetization in the Permian-Triassic,"Izvestiya, Physics of the Solid Earth",41,555-570,Europe,"sediments, limestones",460,478,460,478,59.9,31.5,-24.7,237.6,4.1,4.9,140.6,67.4,32,2.9,,70,5,1,1,1,0,1,0,1,4,1,1,0,0,1,0,1,-P component,N,100,D,4,T,stratigraphic,Baltica,O1-2,59.9,31.5,
4451,10412,Huangmaqing Formation,2005,"Su, L., Yang, Z., Sun, Z., Yang, T., Zaman, H., Takemoto, K., Otofuji, Y.",Regional deformational features of the South China Block inferred from Middle Triassic paleomagnetic data,Geophys.J.Int.,162,339-359,Asia,"sediments, redbeds",242,247,242,247,32,118.9,53.9,229.1,3.2,5.9,34.9,27.8,107.6,5.4,8,57,5,1,1,1,0,1,0,1,4,1,0,1,0,1,0,1,,"Fo,Ro",100,D,4,T,fossils,South China,T2,32,118.9,
4451,10411,Tongtoujian Formation,2005,"Su, L., Yang, Z., Sun, Z., Yang, T., Zaman, H., Takemoto, K., Otofuji, Y.",Regional deformational features of the South China Block inferred from Middle Triassic paleomagnetic data,Geophys.J.Int.,162,339-359,Asia,"sediments, redbeds",237,247,237,247,30.9,117.9,55.6,231.8,5.6,10.4,32.1,25.2,63.1,9.7,5,41,5,1,1,1,0,1,0,1,4,1,0,1,0,1,0,1,,"Fo,Ro",100,D,4,T,fossils,South China,T2,30.9,117.9,
4451,10410,Badong Formation,2005,"Su, L., Yang, Z., Sun, Z., Yang, T., Zaman, H., Takemoto, K., Otofuji, Y.",Regional deformational features of the South China Block inferred from Middle Triassic paleomagnetic data,Geophys.J.Int.,162,339-359,Asia,"sediments, redbeds",237,247,237,247,31.5,111.7,50.5,220.5,3.7,5.9,38.2,25.1,25.4,6.4,21,153,7,1,1,1,1,1,1,1,6,1,0,1,1,1,1,1,,"F+,R+",100,D,4,T,stratigraphic,South China,T2,31.5,111.7,
3686,9271,Verkhotina Drillhole Redbeds,2005,"Popov, V.V., Khramov, A.N., Bachtadse, V.","Palaeomagnetism, magnetic stratigraphy, and petromagnetism of the Upper Vendian sedimentary rocks in the sections of the Zolotitsa River and in the Verkhotina Hole, Winter Coast of the White Sea, Russia",Russian Journal of Earth Sciences,7(2),1-29,Europe,"sediments, redbebds",551,561,551,561,65.5,40.25,32.2,287.1,1.5,2.6,305,35.9,13.6,2.2,,322,6,1,1,1,0,1,1,1,6,1,1,1,0,1,1,1,Z component,Rb,0,D,4,T,U-Pb(zircon),Russian Platform,NP3,65.5,40.25,B comp.in RESULTNO 9267. Cores oriented using RESULTNO 9270
3686,9270,Zolotitsa Redbeds,2005,"Popov, V.V., Khramov, A.N., Bachtadse, V.","Palaeomagnetism, magnetic stratigraphy, and petromagnetism of the Upper Vendian sedimentary rocks in the sections of the Zolotitsa River and in the Verkhotina Hole, Winter Coast of the White Sea, Russia",Russian Journal of Earth Sciences,7(2),1-29,Europe,"sediments, redbebds",551,561,551,561,65.5,40.25,31.7,292.9,1.6,2.7,298.9,38.8,17.6,2.3,10,234,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,Z component,"F+,Rb",100,D,4,T,U-Pb(zircon),Russian Platform,NP3,65.5,40.25,B comp.in RESULTNO 9267
3686,9269,Zolotitsa Redbeds,2005,"Popov, V.V., Khramov, A.N., Bachtadse, V.","Palaeomagnetism, magnetic stratigraphy, and petromagnetism of the Upper Vendian sedimentary rocks in the sections of the Zolotitsa River and in the Verkhotina Hole, Winter Coast of the White Sea, Russia",Russian Journal of Earth Sciences,7(2),1-29,Europe,"sediments, redbebds",551,561,280,300,65.5,40.25,38.5,176.2,3.7,6.5,215.2,-35.3,17.8,5.6,,39,4,0,1,1,1,1,0,0,4,0,1,1,1,1,0,0,C component,F+,100,D,4,T,U-Pb(zircon),Russian Platform,NP3,65.5,40.25,Permian overprint?
3685,9268,Yangzhuang Formation,2005,"Wu, H., Zhang, S., Li, Z.-X., Li, H., Dong, J.","New paleomagnetic results from the Yangzhuang Formation of the Jixian System, North China, and tectonic implications.",Chinese Science Bulletin,50,1483-1489,Asia,"sediments, redbebds, dolostones",1437,1560,1437,1560,40.1,117.4,17.3,214.5,4.1,8,72.2,11.5,24.6,7.9,15,112,6,0,1,1,1,1,1,1,6,0,1,1,1,1,1,1,B component,"F+,Rc",100,D,4,T,U-Pb,North China,MP,40.1,117.4,Folded in Jurassic
4434,10381,Hongsanhan Section,2005,"Sun, Z.M., Yang, Z.Y., Pei, J.L., Ge, X.H., Wang, X.S., Yang, T.S., Li, W.M., Yuan, S.H.","Magnetostratigraphy of Paleogene sediments from northern Qaidam Basin, China: implications for tectonic uplift and block rotation in northern Tibetan plateau",Earth Planet.Sci.Letters,237,635-646,Asia,sediments,26,40,26,40,38.6,91.9,76.8,258.8,3,4.8,3.3,43.9,36.6,3.8,39,,6,1,1,1,1,0,1,1,5,1,0,1,1,0,1,1,HTC,"F+,Rb",100,D,4,T,"fossils, magnetostratigraphy",,E2-3,38.6,91.9,
3935,9654,Bichura Basalts,2005,"Cogné, J.P., Kravchinsky, V.A., Halim, N., Hankard, F.",Late Jurassic–Early Cretaceous closure of the Mongol-Okhotsk Ocean demonstrated by new Mesozoic palaeomagnetic results from the Trans-Baıkal area (SE Siberia),Geophys.J.Int.,163,813-832,Asia,"extrusives, basalts",100,146,100,146,50.6,107.6,37,70.4,15.8,17.5,257.4,74.1,29.2,9.7,9,54,5,1,1,1,1,0,0,1,2,0,0,0,1,0,0,1,,"F+,Ro",100,D,4,T,stratigraphic,Siberian Platform,K1,50.6,107.6,
3817,9466,Liujiagou Formation,2005,"Huang, B., Shi, R., Wang, Y., Zhu, R.",Palaeomagnetic investigation on Early-Middle Triassic sediments of the North China block: a new Early Triassic palaeopole and its tectonic implications,Geophys.J.Int.,160,101-113,Asia,sediments,245,251,245,251,37.62,111.95,4.8,50.3,4.8,4.8,319.8,33.8,62,5.1,14,79,6,1,1,1,1,0,1,1,6,1,1,1,1,0,1,1,,"F+,Rc",100,V,4,T,stratigraphy,Taihang,T1,37.62,111.95,Authors suggest that this terrane rotated with respect to the craton
3806,9452,Kuitun He Section,2005,"Charreau, J., Chen, Y., Gilder, S., Dominguez, S., Avouac, J-P., Sen, S., Sun, D., Li, Y., Wang, W-M.
Li, Y., Wang, W-M.",Magnetostratigraphy and rock magnetism of the Neogene Kuitun He section (northwest China): implications for Late Cenozoic uplift of the Tianshan mountains,Earth Planet.Sci.Letters,230,177-192,Asia,sediments,3,11,3,11,44.3,84.8,76,326,7.5,10.5,344.7,55.9,71.9,7.3,10,209,6,1,1,1,1,1,0,1,6,1,1,1,1,1,0,1,Component 2,"F+,Ro",100,D,4,AT,magnetostratigraphy,,N1-N2,44.3,84.8,Age is estimated by magnetostratigraphy scale
3935,9653,Ingoda Basalts,2005,"Cogné, J.P., Kravchinsky, V.A., Halim, N., Hankard, F.",Late Jurassic–Early Cretaceous closure of the Mongol-Okhotsk Ocean demonstrated by new Mesozoic palaeomagnetic results from the Trans-Baıkal area (SE Siberia),Geophys.J.Int.,163,813-832,Asia,"extrusives, basalts",118,128,118,128,51.2,112.3,58.5,176.8,5.2,6,52.8,69.8,150.5,3.5,12,68,4,1,1,1,0,0,0,1,3,1,0,1,0,0,0,1,,N,0,D,4,T,K-Ar,Siberian Platform,K1,51.2,112.3,
