sample_name,lat,lon,age_ma,age_sd,method,publication,T_closure_C,cooling_rate
kw2-41,-34.9694,-70.4028,125.8,10.7,ZFT,"Waite 2005, PhD Thesis",240.0,1.8282988871224166
kw3-16,-34.9671,-70.4049,109.2,12.1,ZFT,"Waite 2005, PhD Thesis",240.0,2.1062271062271063
kw2-11,-34.966,-70.4382,90.5,10.9,ZFT,"Waite 2005, PhD Thesis",240.0,2.541436464088398
kw1-6,-34.9659,-70.4348,66.5,6.1,ZFT,"Waite 2005, PhD Thesis",240.0,3.4586466165413534
kw3-02,-34.9623,-70.4336,68.7,7.6,ZFT,"Waite 2005, PhD Thesis",240.0,3.347889374090247
kw2-5,-34.9583,-70.4255,125.5,16.5,ZFT,"Waite 2005, PhD Thesis",240.0,1.8326693227091633
kw2-2,-34.9547,-70.4309,124.1,13.8,ZFT,"Waite 2005, PhD Thesis",240.0,1.8533440773569703
kw2-6,-34.9543,-70.435,62.8,5.4,ZFT,"Waite 2005, PhD Thesis",240.0,3.6624203821656054
kw2-7,-34.9529,-70.4326,67.7,10.4,ZFT,"Waite 2005, PhD Thesis",240.0,3.397341211225997
kw1-3,-34.9482,-70.4275,73.6,7.0,ZFT,"Waite 2005, PhD Thesis",240.0,3.1250000000000004
TF9-16,-34.9338,-70.3678,109.6,15.1,ZFT,"Waite 2005, PhD Thesis",240.0,2.0985401459854014
kw2-45,-34.9232,-70.4369,19.5,1.9,ZFT,"Waite 2005, PhD Thesis",240.0,11.794871794871796
kw2-31,-34.894,-70.5199,42.6,10.5,ZFT,"Waite 2005, PhD Thesis",240.0,5.39906103286385
kw2-54,-34.8802,-70.5415,76.3,17.1,ZFT,"Waite 2005, PhD Thesis",240.0,3.014416775884666
kw2-57,-34.8641,-70.5536,14.2,1.6,ZFT,"Waite 2005, PhD Thesis",240.0,16.19718309859155
APM 20-09,-35.09387,-65.45101,202.175,40.97091448,ZHe,"Bense 2013, JSAES",180.0,0.840855694324224
APM 28-08,-34.031,-66.5465,211.8,46.84919067,ZHe,"Bense 2013, JSAES",180.0,0.8026440037771482
AUY 27-10,-33.13835,-65.37598,306.8,37.61808076,ZHe,"Bense 2013, JSAES",180.0,0.5541069100391134
AUY 29-10,-32.92813,-65.16814,275.7,12.45,ZHe,"Bense 2013, JSAES",180.0,0.6166122597025753
APM 51-08,-32.86667,-66.922,293.0,38.00473655,ZHe,"Bense 2013, JSAES",180.0,0.5802047781569966
AUY 30-10,-32.81117,-65.21731,205.8333333,26.19662828,ZHe,"Bense 2013, JSAES",180.0,0.8259109313078399
APM 39-08,-32.76417,-66.11933,237.3,5.381449619,ZHe,"Bense 2013, JSAES",180.0,0.7163927517909818
APM 40-08,-32.7395,-66.16617,277.225,7.338199143,ZHe,"Bense 2013, JSAES",180.0,0.6132203084137433
APM 47-08,-32.704,-66.189,247.2,37.15857909,ZHe,"Bense 2013, JSAES",180.0,0.6877022653721683
APM 46-08,-32.6865,-66.17167,240.6,75.85044496,ZHe,"Bense 2013, JSAES",180.0,0.7065669160432253
APM 45-08,-32.66633,-66.156,304.24,33.46338297,ZHe,"Bense 2013, JSAES",180.0,0.5587693925848014
APM 20-08,-32.310166,-65.2765,264.2625,28.52173484,ZHe,"Bense 2013, JSAES",180.0,0.6432997493023036
APM 02-08 ,-32.08067,-64.63,222.7333333,40.37045124,ZHe,"Bense 2013, JSAES",180.0,0.7632445376778276
AUY 49-10,-31.59147,-64.50304,234.3,63.12495545,ZHe,"Bense 2013, JSAES",180.0,0.7255655142979086
APM 16-09,-31.44892,-67.36539,244.525,25.73264788,ZHe,"Bense 2013, JSAES",180.0,0.695225437071874
APM 55-08,-31.374,-65.37667,307.68,24.37872023,ZHe,"Bense 2013, JSAES",180.0,0.5525221008840353
APM 59-08,-31.35883,-65.426,280.75,30.61772363,ZHe,"Bense 2013, JSAES",180.0,0.6055209260908282
AUY 38-10,-31.35132,-65.43324,302.4333333,28.85850539,ZHe,"Bense 2013, JSAES",180.0,0.5621073515443742
APM 15-09,-30.63729,-67.49066,352.8,17.33416665,ZHe,"Bense 2013, JSAES",180.0,0.48185941043083896
APM 12-09,-30.5624,-67.54256,336.525,11.18224038,ZHe,"Bense 2013, JSAES",180.0,0.5051630636654038
28TR2,-30.76935,-66.4435,378.0,39.0,ZHe,"Enkelmann 2014, Lithosphere",180.0,0.4497354497354497
28TR4,-30.6521,-66.37543333,338.0,43.0,ZHe,"Enkelmann 2014, Lithosphere",180.0,0.5029585798816568
29TR3,-30.65193333,-66.28418333,355.0,25.0,ZHe,"Enkelmann 2014, Lithosphere",180.0,0.4788732394366197
28TR6,-30.51028333,-66.52526667,289.0,51.0,ZHe,"Enkelmann 2014, Lithosphere",180.0,0.5882352941176471
APM 11-08,-32.055,-64.951,251.9333333,25.36066508,ZHe,"Löbens 2011, Int J Earth Sci",180.0,0.6747816883666026
APM 09-08,-32.0542,-64.93595,263.2,13.31014651,ZHe,"Löbens 2011, Int J Earth Sci",180.0,0.6458966565349544
APM 12-08,-32.054,-64.962,231.7,9.968450231,ZHe,"Löbens 2011, Int J Earth Sci",180.0,0.73370738023306
APM 15-08,-32.04696667,-65.02935,189.3,52.32236615,ZHe,"Löbens 2011, Int J Earth Sci",180.0,0.8980454305335446
AUY 59-10,-31.3875,-67.98222222,334.6,30.68924893,ZHe,"Löbens 2013, JSAES",180.0,0.5080693365212193
A5-10,-31.37777778,-68.14333333,278.85,27.08218972,ZHe,"Löbens 2013, JSAES",180.0,0.6096467634929172
AUY 57-10,-31.375,-67.97055556,303.2,15.05,ZHe,"Löbens 2013, JSAES",180.0,0.5606860158311345
AN12JP018,-33.9900031,-70.4260479,5.01,0.32,ZHe,"Piquer2017, Lithos",180.0,33.93213572854292
AN12JP008,-33.1019675,-70.2810118,2.76,0.23,ZHe,"Piquer2017, Lithos",180.0,61.594202898550726
AN12JP011,-32.8859106,-70.3806021,9.71,0.23,ZHe,"Piquer2017, Lithos",180.0,17.507723995880536
AN12JP013,-32.8509485,-70.1340407,5.17,0.09,ZHe,"Piquer2017, Lithos",180.0,32.88201160541586
CHL15-02B_z,-33.62332,-69.6071,226.9433333,20.84505777,ZHe,"Riesner 2019, Sci Rep",180.0,0.7490856749480906
CHL15-07_z,-33.61652,-69.5505,209.47,2.734081199,ZHe,"Riesner 2019, Sci Rep",180.0,0.8115720628252255
CL-8,-33.612,-69.54445,178.9366667,12.3599528,ZHe,"Riesner 2019, Sci Rep",180.0,0.9500568169463951
CL-10,-33.60363,-69.43945,41.97,17.14030338,ZHe,"Riesner 2019, Sci Rep",180.0,4.050512270669526
CHL14-25_z,-29.97052,-70.35397,201.16,107.0362924,ZHe,"Riesner 2019, Sci Rep",180.0,0.8450984291111553
CHL14-28_z,-29.95306,-70.41984,67.67,4.845853898,ZHe,"Riesner 2019, Sci Rep",180.0,2.5121915176592284
CHL14-19_z,-29.94404,-70.32056,79.38,22.74092566,ZHe,"Riesner 2019, Sci Rep",180.0,2.1415973796926178
CHL14-21_z,-29.93016,-70.30965,70.07333333,23.70907913,ZHe,"Riesner 2019, Sci Rep",180.0,2.4260298735812973
CHL14-18_z,-29.90576,-70.5238,61.91333333,14.27986461,ZHe,"Riesner 2019, Sci Rep",180.0,2.7457736622561524
VI04,-35.622,-71.045,12.8,0.5,ZHe,"Spikings 2008, J. Geol. Soc.",180.0,13.28125
TE06,-35.048,-70.632,5.8,0.3,ZHe,"Spikings 2008, J. Geol. Soc.",180.0,29.310344827586206
Huasco75,-28.96953,-70.223144,101.6340038,1.453125806,ZHe,Stalder et al. (2020),180.0,1.6726685326156558
Huasco87,-28.941463,-70.223362,229.272868,71.7,ZHe,Stalder et al. (2020),180.0,0.7414745647095059
Huasco73,-28.859497,-70.324024,112.1945545,19.6,ZHe,Stalder et al. (2020),180.0,1.5152250548844597
Huasco54,-28.849683,-70.295205,50.87552989,17.8,ZHe,Stalder et al. (2020),180.0,3.3414885381550565
Laguna57,-28.791733,-70.006892,46.52457993,1.203022859,ZHe,Stalder et al. (2020),180.0,3.65398248099776
Huasco52,-28.775114,-70.419593,50.22322998,17.1,ZHe,Stalder et al. (2020),180.0,3.384887831143034
Huasco55,-28.721541,-70.522948,51.93594119,0.957705332,ZHe,Stalder et al. (2020),180.0,3.27326310267643
FC01,-30.14146,-69.5262,207.9,6.8,ZHe,Fosdick et al 2015,180.0,0.8177008177008177
JT07,-30.20958,-68.8886,234.6,11.7,ZHe,Fosdick et al 2015,180.0,0.7246376811594203
JT10,-30.21938,-68.99572,258.6,10.7,ZHe,Fosdick et al 2015,180.0,0.6573859242072698
JT15,-30.17494,-69.12577,239.2,10.0,ZHe,Fosdick et al 2015,180.0,0.7107023411371238
SVF01,-30.15897,-68.05082,218.6,7.3,ZHe,Fosdick et al 2015,180.0,0.777676120768527
A-8,-31.530911,-70.441439,14.3,0.3,AHe,Maydagán et al. (2020),70.0,4.195804195804196
A-24,-31.552168,-70.431922,11.87,0.15,AHe,Maydagán et al. (2020),70.0,5.054759898904802
