locality,age_ma,lat,lon,paleolat_hinsbergen2015,environment
"Priobskaya 8232 well, Russia",135.0,61.343,70.441,51.64,Shallow shelf
KS1 borehole,135.0,73.694,109.649,70.01,Shallow shelf
"Laptev sea coast, Chernohrebetnaya",135.0,74.79592,112.053403,70.65,Shallow shelf
"AH3 borehole, Eastern Taimyr, Russia",135.0,74.78,110.43,70.82,Shallow shelf
"Borehole 75, N. Siberia",135.0,73.44346,112.40798,70.49,Shallow shelf
"Borehole 65, N. Siberia",135.0,73.59734,112.66342,70.64,Shallow shelf
"Massonovskaya 363 borehole, Siberia",135.0,72.48685,100.26122,67.16,Shallow shelf
"Vassdalen 2-3 boreholes, Spitsbergen",136.0,77.806079,15.032719,61.29,Shallow shelf
"Olenek river, Russia",136.0,72.75,121.59,72.04,Shallow shelf
"Konusen Mt, Spitsbergen",136.0,78.316667,15.883333,61.82,Shallow shelf
"Srednyaya river, Russia",136.0,72.554,114.272,70.14,Shallow shelf
"Isachsen area, Ellef Ringnes Island",136.0,79.054,-104.825,70.16,Shallow shelf
"Amund Ringnes Island, Piercement dome, SW from Stratigrapher river",136.0,78.5257,-97.4583,68.65,Shallow shelf
"Oodnadatta, Eromanga Basin, Australia",136.0,-27.57,135.42,-69.4,Shallow shelf
Laptev sea coast south from Osipa river,137.0,74.685586,111.61095,70.49,Shallow shelf
"Laptev sea coast, Chernohrebetnaya",137.0,74.836763,112.117948,71.22,Shallow shelf
"Ellesmere Island, Blackwelder Mts",137.0,80.693,-85.353,67.06,Shelf
"Ellesmere Island, Reptile Creek",137.0,80.155,-85.323,66.85,Shelf
"Alex Heiberg Island, Buchanan Lake",137.0,79.47,-86.918,66.84,Shelf
Amund Ringnes Island,137.0,78.765,-98.265,68.62,Shelf
"Grumant 1 borehole, Spitsbergen",137.0,78.103828,14.962341,61.31,Shallow shelf
"Ellesmere island, Rollrock section",137.0,81.61614,-75.59795,66.09,Shelf
"Ellesmere island, Slidre fjord",137.0,80.00227,-85.89367,66.88,Shelf
"Axel Heiberg Island, Geodetic Hills",137.0,79.815889,-89.805669,67.45,Shallow shelf
Dzhangodskaya 2-R well,137.0,71.0232,88.9279,63.14,Shallow shelf
"Borehole Baikalovskaya 5, Siberia",137.0,70.6676,83.6655,61.79,Shelf
"Chucha, Yakutia, Rissia",139.0,70.782,127.58,71.85,Shallow shelf
"Martin Creek, Canada",139.0,68.16666,-135.6666,75.85,Shallow shelf
"Olenek Bay, northern Siberia",139.0,72.9166,121.9795,71.51,Shallow shelf
"Axel Heiberg Island, Buchanan lake",139.0,79.366797,-87.769175,66.43,Shallow shelf
"Axel Heiberg Island, Geodetic Hills",139.0,79.815889,-89.805669,66.94,Shallow shelf
Novoyakimovskaya 1 borehole,140.0,71.753472,90.901194,63.28,Shallow shelf
"Borehole 618 Yuzhno-Priobskaya, Western Siberia",140.0,60.861718,70.338438,57.19,Shelf
"Severo-Murmanskaya well - 1, Barents Sea shelf",144.0,70.408056,41.561944,56.44,Deep shelf
"Intrepid Inlet, Prince Patrick island, Canada",144.0,76.7,-117.6166,70.84,Shallow shelf
Novoyakimovskaya 1 borehole,144.0,71.753472,90.901194,66.6,Shallow shelf
"AH3 borehole, Eastern Taimyr, Russia",147.0,74.78,110.43,75.39,Shallow shelf
Novoyakimovskaya 1 borehole,147.0,71.753472,90.901194,69.1,Shallow shelf
Emlinskaya Bay,155.0,60.527295,155.345713,73,Shelf
"Vostochno-Urengoyskaya 339 borehole, Siberia",155.0,66.12719,77.51877,65.36,Shallow shelf
"Omulevka river, near Nenadezny stream",155.0,63.90099,147.62775,82.01,Shallow shelf
Syuryuge river,156.0,65.774,139.435,83.56,Shelf
"Myklegardfjellet, Spitsbergen",156.0,78.053,18.687,62.34,Shallow shelf
Lyglygtah river,156.0,62.842141,151.226563,76.7,Shelf
"Severo-Yangtinskaya well 324, Western Siberia",156.0,64.244281,74.931747,63.47,Shallow shelf
Lyglygtah river,157.0,62.842141,151.226563,76.6,Shelf
Delyankir river,157.0,64.027,146.37,82.69,Shelf
"Viliga river, Russia",157.0,62.065061,156.061574,73.9,Shelf
"Northern Yukon, Canada",157.0,66.94,-140.09,x,Shelf
Bysar-Yuryakh river,157.0,67.435086,137.420984,85.05,Shelf
Mirny and Oasis basin,157.0,69.34,139.95,84,Shallow shelf
"Polousny Ridge, sample 3003",157.0,69.293708,139.588408,83,Shallow shelf
"Vostochno-Urengoyskaya 339 borehole, W.Siberia",157.0,66.12719,77.51877,65.78,Shallow shelf
"Uregoyskaya 336 borehole, W.Siberia",157.0,66.212634,77.216744,65.75,Shallow shelf
"Tugur Bay, north from Mamga bay, Russian Far East",158.0,54.445198,136.812273,x,Shallow shelf
Tuostaakh river,158.0,67.61001,136.95909,85.5,Shelf
Novoyakimovskaya 1 borehole,158.0,71.753472,90.901194,73.04,Shallow shelf
"Tugur Bay, cape Nikta, Russian Far East",159.0,54.56589,136.87763,x,Shallow shelf
"Kirilkinskaya 9R borehole, Western Siberia",160.0,58.412222,72.865278,60.1,Shallow shelf
"Polousnensky Range, Yakutia",160.0,69.778066,139.339551,86,Shelf
"Tugur Bay, north from Mamga bay, Russian Far East",160.0,54.452352,136.807166,x,Shallow shelf
Dzhangodskaya 5-R well,160.0,71.0561,89.0186,72.58,Shallow shelf
Dzhangodskaya 4-R well,160.0,71.1028,88.9211,72.57,Shallow shelf
Dzhangodskaya 2-R well,160.0,71.0232,88.9279,72.54,Shallow shelf
"Anabar Bay, Russia",162.0,73.43658,113.600231,80.29,Shallow shelf
"Tugur Bay, north from Mamga bay, Russian Far East",162.0,54.442699,136.814461,x,Shallow shelf
"Tugur Bay, Mamga bay near Sebash river mouth, Russian Far East",162.0,54.39775,136.75403,x,Shallow shelf
Dzhangodskaya 1-R well,162.0,71.0493,88.8593,72.63,Shallow shelf
"Russko-Severo-Chaselskaya 101 borehole, Western Siberia",162.0,66.26815,79.96161,67.49,Shallow shelf
"Kirilkinskaya 9 borehole, Western Siberia",163.0,59.14,68.89,59.07,Shallow shelf
"Russko-Rechenskaya 603 borehole, W.Siberia",164.0,67.1384,81.6447,68.74,Shelf
Novoyakimovskaya 1 borehole,164.0,71.753472,90.901194,73.55,Shallow shelf
"Fedorovskoe field, borehole 4238, Western Siberia",164.0,61.569,73.63,62.58,Shallow shelf
"Chernokhrebetnaya river, Russia",164.0,74.959,111.729,79.37,Shallow shelf
"Anabar Bay, Russia",164.0,73.43658,113.600231,80.26,Shallow shelf
"Bolshoi Begichev island, Russia",164.0,74.119159,112.84764,79.89,Shallow shelf
Urengoyskaya 673 borehole,164.0,66.0589006319456,76.7494025537136,66.53,Shallow shelf
Tyumenskaya SG6 borehole,164.0,65.9447222222222,78.1625,66.93,Shallow shelf
"Kubalakhskaya 1 borehole, Siberia",164.0,73.00735,98.98406,76.15,Shallow shelf
"Zapadno-Kubalakhskaya 359 borehole, Siberia",164.0,72.66532,98.11889,75.87,Shallow shelf
"Artyk river, near Kostyor stream",164.0,64.2823,145.8888,84.38,Shallow shelf
"Russko-Severo-Chaselskaya 101 borehole, W.Siberia",164.0,66.26815,79.96161,67.7,Shallow shelf
"Russko-Severo-Chaselskaya 101 borehole, W.Siberia",164.0,66.26815,79.96161,67.7,Shallow shelf
"Kraynyaya well 5327, Western Siberia",164.5,63.633333,74.133333,64.21,Shallow shelf
"Chernokhrebetnaya river, Russia",165.0,74.959,111.729,79.3,Shallow shelf
"92 borehole, Guli field",165.0,70.962321,100.652851,76.45,Shallow shelf
"Anabar Bay, Russia",165.0,73.43658,113.600231,80.24,Shallow shelf
Novoyakimovskaya 1 borehole,165.0,71.753472,90.901194,73.59,Shallow shelf
"Bolshoi Begichev island, Russia",165.0,74.119159,112.84764,79.85,Shallow shelf
Emlinskaya Bay,165.0,60.527295,155.345713,71,Shallow shelf
"Bolshehiglinskaya borehole, Siberia",165.0,67.882222,82.786389,69.59,Shelf
Odyan Bay,165.0,59.214067,151.892358,70.5,Shelf
Omulevka river,165.0,64.351,149.7,81,Shelf
"Kharampurskaya 342 borehole, 2984-2986 m",165.0,64.2298353218379,79.5756010332948,66.49,Shallow shelf
"AH3 borehole, Eastern Taimyr, Russia",165.0,74.78,110.43,79.04,Shallow shelf
Khabeyskaya 2 borehole,165.0,71.6456295165414,84.4732985825425,71.63,Shallow shelf
"Yuzhno-Solyoninskaya 23 borehole, Siberia",165.0,69.138,81.817,69.86,Shallow shelf
Dzhangodskaya 4-R well,165.0,71.1028,88.9211,72.81,Shallow shelf
"Ludlovskaya well-2, Barents Sea shelf",165.0,74.78617,46.90933,63.44,Shallow shelf
"Omulevka river, near Olen' stream",165.0,63.87198,147.61114,83.84,Shallow shelf
"Pechora region, Russia",166.0,66,52.0,58.96,Shallow shelf
"Yurung-Tumus peninsula, Russia",166.0,74.002543,111.447121,79.49,Shallow shelf
"Anabar Bay, Russia",166.0,73.566909,113.336559,80.11,Shallow shelf
Kananyga river,166.0,61.347889,155.39286,73.7,Shelf
Balakhninskaya 2 borehole,166.2,72.76662,99.858933,76.43,Shallow shelf
"Borehole 73, N. Siberia",166.2,73.47594,112.47665,79.91,Shallow shelf
"Borehole 55-K, N. Siberia",166.2,73.54082,112.73277,79.96,Shallow shelf
"Stannakh-Khocho, Yakuria",166.5,72.975,121.79168,82.49,Shallow shelf
"Ledovaya-1 well, Barents Sea shelf, Russia",166.5,73.9241667,46.557778,62.69,Shallow shelf
"Eekit river, Yakutia",166.5,70.797025,126.097985,84.58,Shallow shelf
"112 borehole, Guli field",166.5,70.868409,100.302661,76.44,Shallow shelf
"142 borehole, Guli field",166.5,70.775917,99.660133,76.22,Shallow shelf
"92 borehole, Guli field",166.5,70.962321,100.652851,76.56,Shallow shelf
"Anabar Bay, Russia",166.5,73.5603,113.333813,80.1,Shallow shelf
Rassokhinskaya 1 borehole,166.5,71.0887637801475,89.7670345415233,73.14,Shallow shelf
"Olenek Bay, northern Siberia",166.5,72.953,121.7376,82.49,Shallow shelf
"Khabeyskaya 1 borehole, Siberia",166.5,71.68072,84.48623,71.69,Shallow shelf
Ystannakh-Khocho,166.5,72.9471,121.79889,82.51,Shallow shelf
"Ludlovskaya well-1, Barents Sea shelf",166.5,74.848333,46.772222,63.22,Shallow shelf
"Arkticheskaya well-1, Barents Sea shelf",167.0,71.671667,43.715556,60.58,Shallow shelf
"Shtockmanovskaya well-1, Barents Sea shelf",167.0,73.038207,43.94722,61.52,Shallow shelf
"Blue Mountains, Ellesmere Island, Canada",167.0,80.735278,-85.582222,63.37,Shallow shelf
"Shtockmanovskaya well-6, Barents Sea shelf",167.0,73.19488,44.03413,61.63,Shallow shelf
"Yurung-Tumus peninsula, Russia",167.0,74.016497,111.597553,79.49,Shallow shelf
"Chekurovka north, Yakutia, Russia",167.0,71.114,127.339,84.8,Shallow shelf
"Ozika Peninsula, Japan",167.5,38.383,141.425,x,Shelf
Yarysaakh river,167.5,69.752571,127.297777,85.4,Shallow shelf
Eekit river,167.5,70.797025,126.097985,84.64,Shallow shelf
"Kulumas river, Russia",167.5,72.083,123.776,83.41,Shallow shelf
"Chucha, Yakutia, Rissia",167.5,70.79,127.6,85.05,Shallow shelf
"Anabar Bay, Russia",167.5,73.555049,113.32832,80.08,Shallow shelf
"Anabar river, Russia",167.5,72.452443,114.049269,80.64,Shallow shelf
Arktyk river,167.5,66.725158,131.743587,87.09,Shallow shelf
"Olenek Bay, northern Siberia",167.5,72.953,121.7376,82.46,Shallow shelf
"Zapadno-Kubalakhskaya 359 borehole, Siberia",167.5,72.66532,98.11889,75.95,Shallow shelf
Ystannakh-Khocho,167.5,72.9525,121.75,82.46,Shallow shelf
Kumakh-Suurt,167.5,71.462,127.292,84.61,Shallow shelf
Balakhninskaya 2 borehole,167.7,72.76662,99.858933,76.46,Shallow shelf
"Ust'-Umalta, Bureya Basin",167.7,51.6318,133.304,x,Shallow shelf
Baga-Evhanzha interflow,167.7,65.162649,143.800393,86.08,Shelf
Adycha river,167.7,67.119793,136.292424,88.89,Shelf
"Kulumas river, Yakutia",167.7,72.087189,123.818107,83.42,Shallow shelf
Olenek river near Kiemg-Yuryah,167.7,72.698034,121.821358,82.61,Shallow shelf
"Bureya river (3 km above the Umal'ta mouth), Far East",167.7,51.63687,133.34071,x,Shallow shelf
"Britvin Peninsula, Novaya Zemlya",167.7,72.82577,52.58193,63.37,x
"Borehole 73, N. Siberia",167.7,73.47594,112.47665,79.88,Shallow shelf
"Borehole 57, N. Siberia",167.7,73.53129,112.72521,79.93,Shallow shelf
"Borehole 217, Anabar region",167.7,73.526,111.685,79.66,Shallow shelf
"Localities 179,193, Anabar area",167.7,73.4849,114.0717,80.3,Shallow shelf
"Locality 515, Anabar area",167.7,73.504,114.966,80.52,Shallow shelf
"Vostochno-Kubalakhskaya 357 borehole, Siberia",167.7,73.09063,99.38232,76.31,Shallow shelf
"Polousny Ridge, sample 3279/1",167.7,69.54078,137.396408,87.67,Shallow shelf
"Polousny Ridge, sample 4016-958",167.7,69.6634,140.982042,85,Shallow shelf
"Chekurovka north, Yakutia, Russia",168.0,71.113,127.336,84.83,Shallow shelf
"Chekurovka south, Yakutia, Russia",168.0,70.96,127.498,84.96,Shallow shelf
"Sugzha river, Yakutia",168.0,62.1564,136.7559,84.22,Shallow shelf
"Kerbi river, Yakutia",168.0,61.431522,135.629452,83.45,Shallow shelf
"Olenek river, Yakutia",168.0,72.1461,123.454,83.29,Shallow shelf
"Chekurovka, Yakutia, Rissia",168.0,70.99,127.55,84.94,Shallow shelf
"Ust'-Yenisei depression, Russia",168.0,69,87.0,71.72,Shallow shelf
KS1 borehole,168.0,73.694,109.649,79.06,Shallow shelf
"Svetly stream, NE Russia",168.0,62.837,147.991,83.28,Shallow shelf
"Nyamna river, NE Russia",168.0,64.693,136.902,86.73,Shallow shelf
Pronchischeva Range 14-10 section,168.0,73.2642,117.0402,81.14,Shallow shelf
Pronchischeva Range 14-8 section,168.0,73.2707,117.0421,81.14,Shallow shelf
"AH3 borehole, Eastern Taimyr, Russia",168.0,74.78,110.43,78.87,Shallow shelf
"Govorovskaya-1 well, Yakutia",168.0,70.28902,125.90827,84.85,Shallow shelf
Logatskaya 361 borehole,168.0,73.17908,98.34411,76.01,Shallow shelf
"Omulevka river, near Shestyorka stream",168.0,63.8561,147.5592,84.17,Shallow shelf
"Artyk river, near Kostyor stream",168.0,64.482,145.86959,85.09,Shallow shelf
"Chekurovka north, Yakutia, Russia",169.0,71.109,127.342,84.86,Shallow shelf
"Kulumas river, Yakutia",169.0,72.0898,123.8667,83.42,Shallow shelf
Syurkyulyun river,169.0,65.24952,141.44112,87.01,Shelf
Sugdzhu – Nadezhda rivers interflow,169.0,62.032878,135.893064,84.44,Shallow shelf
Arkagala river,169.0,63.17068,147.029241,83.94,Shelf
Tas-Yuryakh river,169.0,72.82821,122.653202,82.69,Shallow shelf
"Kelimyar river, Yakutia",169.0,71.983151,124.198071,83.57,Shallow shelf
"Olenek river, Russia",169.0,72.107,123.606,83.35,Shallow shelf
"Yurung-Tumus peninsula, Russia",169.0,74.002543,111.447121,79.39,Shallow shelf
"Cape Kystatym, Yakutia, Russia",169.0,67.36,123.18,84.52,Shallow shelf
"Cape Khorongho, Yakutia",169.0,67.27,123.12,84.49,Shallow shelf
"Anabar Bay, Russia",169.0,73.543181,113.299481,80.05,Shallow shelf
"Anabar river, Russia",169.0,72.452443,114.049269,80.67,Shallow shelf
Arktyk river,169.0,66.725158,131.743587,87.64,Shelf
Logatskaya 361 borehole,169.0,73.17908,98.34411,76.02,Shallow shelf
KS1 borehole,169.0,73.694,109.649,79.05,Shallow shelf
Zhigansk borehole 42,169.0,66.928702,123.372541,84.52,Shallow shelf
Pronchischeva Range 14-6 sectiom,169.0,73.277611,117.023861,81.1,Shallow shelf
Pronchischeva Range 2-14 section,169.0,73.313389,116.696444,81.01,Shallow shelf
"AH3 borehole, Eastern Taimyr, Russia",169.0,74.78,110.43,78.81,Shallow shelf
Khastakh  river,169.0,68.479383,133.180882,87.94,Shelf
Nyamny river,169.0,64.645266,137.042812,87.06,Shelf
"Svetly stream, NE Russia",169.0,62.777,147.929,83.38,Shallow shelf
Tirekhtyah river,169.0,68.90827,133.163401,87.68,Shelf
R201 borehole,169.0,73.332749,108.817689,78.94,Shallow shelf
Ulaga river,169.0,66.41747,131.260069,87.35,Shallow shelf
Syncha river,169.0,68.049463,128.449294,86.5,Shallow shelf
"Olenek Bay, northern Siberia",169.0,72.953,121.7376,82.4,Shallow shelf
Omuk-Kuruelyah river basin,169.0,64.915968,142.242841,86.55,Shelf
Ottokh river,169.0,69.663,140.9948,86,Shelf
Ukachilkan 2nd stream,169.0,70.0518,139.1595,88,Shelf
Meljuettaeh river,169.0,68.255787,122.777316,84.41,Shelf
"Ludlovskaya well-2, Barents Sea shelf",169.0,74.78617,46.90933,62.99,Shallow shelf
"Bureya river (2 km below the Umal'ta mouth), Far East",169.0,51.63155,133.28294,x,Shallow shelf
"Soloni river (below mouth of Birakachan river), Far East",169.0,50.87202,133.18965,x,Shallow shelf
"Varvara-Seene river, loc. 174, Yakutia",169.0,71.9268,121.2327,82.85,Shallow shelf
"Varvara-Seene river, loc. 159-160, Yakutia",169.0,71.86107,121.17782,82.87,Shallow shelf
"Iinneekh – Burgachchi interflow, Yakutia",169.0,69.098,135.177,87.91,Shallow shelf
"Sobopol river, Yakutia",169.0,67.08802,126.03172,85.56,Shallow shelf
Rassokhinskaya 1-R well ,169.0,71.0873,89.7432,73.26,Shallow shelf
"Kuchu river, loc. 3614",169.0,66.385387,125.780467,85.3,Shallow shelf
"Buor-Eyeekit river, loc. 450, Yakutia",169.0,70.61045,125.26267,84.6,Shallow shelf
"Yulegiir river, Yakutia",169.0,66.54881,125.64823,85.3,Shallow shelf
"Kuchu river, loc. 3010",169.0,66.36422,125.80684,85.31,Shallow shelf
"Bolshoy Maldyak river, NE Russia",169.0,63.875,146.997,84.47,Shallow shelf
"Levy Mukelkan river, NE Russia",169.0,63.683,146.674,84.42,Shallow shelf
"Bolshoy Maldyak river, NE Russia",169.0,63.875,146.997,84.47,Shallow shelf
"Levy Mukelkan river, NE Russia",169.0,63.683,146.674,84.42,Shallow shelf
"Kubalakhskaya 1 borehole, Siberia",169.0,73.00735,98.98406,76.22,Shallow shelf
"Zapadno-Kubalakhskaya 359 borehole, Siberia",169.0,72.66532,98.11889,75.98,Shallow shelf
Dorukchan river,169.0,64.16735,130.111,85.53,Shallow shelf
"Ust'-Yenisei depression, Russia",169.5,69,87.0,71.81,Shallow shelf
Delyankir river,169.5,64.02693,146.372252,84.83,Shelf
Mukelken river,169.5,63.856173,146.602939,84.64,Shelf
Myaundzha river,169.5,63.029519,147.164768,83.86,Shelf
Kolyma river,169.5,62.430776,150.576125,77,Shelf
Berelekh river,169.5,63.336024,147.409581,84.02,Shelf
Berelekh and Debin rivers,169.5,63.309177,148.35015,83.71,Shelf
Seykimnyan river,169.5,63.91589,140.13816,86.26,Shelf
Kyubyume river,169.5,63.4361,141.0596,85.66,Shelf
Tyra - Khalya interflow,169.5,64.4254,140.0749,86.73,Shelf
Burgavli river,169.5,66.3543,137.5441,89.08,Shelf
Tonkogor river,169.5,67.9383,137.05385,89.13,Shelf
Debin river,169.5,62.772513,149.679856,77.3,Shelf
Rassokhinskaya 1 borehole,169.5,71.088698,89.7670345415233,73.3,Shallow shelf
"Tengkeleh stream, NE Russia",169.5,62.9714,147.9109,83.66,Shallow shelf
"Nizhny Neksikan river, NE Russia",169.5,62.78677,147.74413,83.58,Shallow shelf
Tundrovaya 1 borehole,169.5,71.241711,90.938539,73.69,Shallow shelf
"Govorovskaya-1 well, Yakutia",169.5,70.28902,125.90827,84.99,Shallow shelf
Rassokhinskaya 1-R well ,169.5,71.0873,89.7432,73.29,Shallow shelf
Amga river,169.5,62.041,134.3257,84.54,Shallow shelf
"Intakh river, section no.103",169.5,65.1596,145.2753,80,Shallow shelf
"Section no.252, Lena river",169.5,68.08125,123.05785,84.64,Shallow shelf
Lena river 10 km above Mengkere mouth,169.5,67.9248,123.18626,84.69,Shallow shelf
"Artyk river, section 70",169.5,64.27367,145.79612,85.18,Shallow shelf
Burustakh river near Otvorot stream,169.5,64.47619,145.5455,85.39,Shallow shelf
"Tigyan river, N.Siberia",169.5,73.6161,111.3436,79.51,Shallow shelf
"Yurung-Tumus peninsula, Russia",170.0,74.002543,111.447121,79.37,Shallow shelf
Burgandya river,170.0,66.0243,138.2468,88.66,Shallow shelf
Motorchuna-Molodo interflows,170.0,69.242289,124.191119,84.95,Shallow shelf
Omulevka river,170.0,63.908208,147.771066,84.36,Shelf
"Kelimyar river, Yakutia",170.0,71.983151,124.198071,83.57,Shallow shelf
"Viliga river, Russia",170.0,62.109421,156.10826,70,Shallow shelf
"Olenek Bay, northern Siberia",170.0,72.953,121.7376,82.37,Shallow shelf
"Bovanenkovskaya 97 borehole, Western Siberia",170.0,70.41185399,68.21631108,66.38,Shallow shelf
"Zapadno-Kubalakhskaya 359 borehole, Siberia",170.0,72.66532,98.11889,76,Shallow shelf
Dulgallah river,170.5,64.930758,130.217556,86.34,Shelf
Lyapiske river basin,170.5,64.635886,125.789203,84.83,Shelf
"Dyolobuun river, Yakutia",170.5,66.44152,125.9167,85.67,Shallow shelf
Motorchuna-Molodo interflows,171.0,69.242289,124.191119,85.08,Shallow shelf
Kedon river,171.0,65.342409,159.251762,75,Shallow shelf
Balakhninskaya 2 borehole,171.0,72.76662,99.858933,77.21,Shallow shelf
Zhigansk borehole 42,172.0,66.928702,123.372541,85.09,Shallow shelf
Mitrey – Byuteidyakha river,172.0,65.0617,141.4555,85.44,Shallow shelf
"Ust'-Yenisei depression, Russia",172.0,69,87.0,73.56,Shallow shelf
"Chernokhrebetnaya river, Russia",172.0,74.964,111.896,79.85,Shallow shelf
"Markha river, section 15, Yakutia",172.0,63.994,116.885,82.13,Shallow shelf
"Tabaga Cape, Yakutia",172.0,61.793,129.667,83.2,Shallow shelf
"Yurung-Tumus peninsula, Russia",172.0,74.002543,111.447121,80.32,Shallow shelf
"Bulun river, Yakutia",172.0,70.62,126.89,85.07,Shallow shelf
Syuptyur river,172.0,67.736996,137.077019,87.84,Shallow shelf
Tirekhtyah river,172.0,68.90827,133.163401,86.89,Shallow shelf
"Olenek Bay, northern Siberia",172.0,72.953,121.7376,82.83,Shallow shelf
Setanzha river,172.0,68.966594,140.220657,88,Shelf
Lena basin,172.0,71.978,122.692,83.62,Shallow shelf
"Setyandzha river, Yakutia",172.0,68.97392,140.18211,x,Shallow shelf
"Sygynahtah river, loc. 785, Yakutia",172.0,71.855,121.4794,83.5,Shallow shelf
"Varvara-Seene river, loc. 174, Yakutia",172.0,71.9268,121.2327,83.42,Shallow shelf
Tundrovaya 1-R well,172.0,71.1825,91.0139,75.3,Shallow shelf
"Buor-Eyeekit river, loc. 468, Yakutia",172.0,70.64643,125.33752,84.82,Shallow shelf
"Yurung-Tumus peninsula, Russia",175.0,74.002543,111.447121,81.77,Shallow shelf
KS1 borehole,175.0,73.694,109.649,81.7,Shallow shelf
"Olenek Bay, northern Siberia",175.0,72.953,121.7376,83.51,Shallow shelf
"Vilyui river, section 2(12)",175.0,61.952,116.651,81.8,Shallow shelf
"Vilyui river, section 5(18)",175.0,61.9344,117.2614,81.87,Shallow shelf
"Markha river, near Sobo stream",175.0,64.27218,116.38778,83.56,Shallow shelf
"Markha river, near Lokhayyi stream mouth",175.0,63.98755,117.879,83.55,Shallow shelf
"Buttenheim clay pit, S.Germany",184.0,49.794639,11.045556,42.31,Shallow shelf
"Motorchuna river, Yakutia",184.0,68.287966,122.308119,84.06,Shallow shelf
Kuyunte river,184.0,63.5748,141.96022,75.23,Shelf
"Ochotsky Perevoz, Yakutia",184.0,61.8694,135.542,76.76,Shallow shelf
Hogonchan stream,184.0,62.04842,139.9511,75.2,Shelf
Vily stream,184.0,62.89728,139.65516,75.77,Shelf
Delinya river,184.0,64.57189,135.79,78.06,Shelf
"Barth 10/65 well, N. Germany",184.0,54.3652,12.7124,46.67,Shelf
"KSS 5/66 well, N. Germany",184.0,53.5853,12.044,45.81,Shelf
"Ikiri river, NE Russia",184.0,64.769,137.853,77.35,Shallow shelf
Kilderkich river,184.0,62.000476,139.864959,82,Shelf
"Olenek river area, between Ystannah-Khocho and Tuora-Khaya",184.0,72.923,121.05,82.15,Shallow shelf
Ystannakh-Khocho,184.0,72.961374,121.712924,82,Shallow shelf
"Yuring-Tumus, Russia",184.0,74.002543,111.447121,82.21,Shallow shelf
"Tjung river, section 17, Yakutia",184.0,66.062,119.757,84.54,Shallow shelf
"Vilyui river, sections 15-16, Yakutia",184.0,61.929,117.084,82.71,Shallow shelf
"Vilyui river, section 17, Yakutia",184.0,61.978,116.297,82.92,Shallow shelf
"Vilyui river, section 12, Yakutia",184.0,61.952,116.651,82.83,Shallow shelf
"Bulkur river, Tuora-Sis Mts, Russia ",184.0,71.763,126.665,81.58,Shallow shelf
KS1 borehole,184.0,73.694,109.649,82.53,Shallow shelf
"Viliga river, Russia",184.0,61.946,156.1076,71,Shelf
"Molodo river, Russia",184.0,68.203,122.444,84.02,Shelf
"Motorchuna river, Russia",184.0,68.211164,122.652651,83.94,Shelf
"Sjungjujudè river, Russia",184.0,68.557,121.788,84.23,Shelf
"Kjundedej river, Russia",184.0,65.447,125.237,82.38,Shelf
"Anabar Bay, Russia",184.0,73.522538,113.272015,82.48,Shelf
"Cremlingen, Germany",184.0,52.259264,10.673633,44.25,Shelf
Amga - Aldan interflows,184.0,61.3,134.0,76.99,Shelf
Arman' river,184.0,60.65231,150.66077,70.25,Shelf
Khandyga river,184.0,62.857254,137.173957,76.7,Shelf
"R201 borehole, Russia",184.0,73.332749,108.817689,82.86,Shallow shelf
"Lehre, N. Germany",184.0,52.306,10.711,44.3,Shallow shelf
"Dyba river, NE Russia",184.0,63.975,137.48,77.14,Shallow shelf
"Kyuentya river, NE Russia",184.0,63.346,141.476,75.3,Shallow shelf
Tundrovaya 1-R well,184.0,71.1825,91.0139,81.91,Shallow shelf
Anabar river,184.0,72.36149,113.53683,83.62,Shallow shelf
Begijan river,184.0,66.882,125.8964,82.59,Shallow shelf
Ulakh-An borehole,184.0,61.622,129.21,78.91,Shallow shelf
"Vilyui river, section 4",184.0,61.929304,117.08514,82.71,Shallow shelf
"Vilyui river, section 7",184.0,61.921821,117.132476,82.69,Shallow shelf
"Motorway A39 at Wolsburg, Germany",184.0,52.41,10.73,44.4,Shallow shelf
"Borehole 13, Anabar area, Siberia",184.0,73.52022,112.61398,82.62,Shallow shelf
