lat,lon,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff
-15.654326,34.83118,LITH01212018-ZO4211,75.0,80.0,1.4285714285714235,0.2857142857142847
-15.654326,34.83118,LITH01212018-ZO4211,80.0,85.0,1.4285714285714306,0.28571428571428614
-15.654326,34.83118,LITH01212018-ZO4211,85.0,90.0,1.4285714285714306,0.28571428571428614
-15.654326,34.83118,LITH01212018-ZO4211,90.0,95.0,2.0,0.4
-15.654326,34.83118,LITH01212018-ZO4211,95.0,100.0,2.142857142857139,0.42857142857142777
-15.654326,34.83118,LITH01212018-ZO4211,100.0,105.0,2.142857142857146,0.42857142857142916
-15.654326,34.83118,LITH01212018-ZO4211,105.0,110.0,2.142857142857139,0.42857142857142777
-15.654326,34.83118,LITH01212018-ZO4211,110.0,115.0,4.402597402597408,0.8805194805194816
-15.654326,34.83118,LITH01212018-ZO4211,115.0,120.0,5.9090909090909065,1.1818181818181812
-15.717847,34.449722,LITH01212018-ZO4123,0.0,5.0,8.18181818181818,1.636363636363636
-15.717847,34.449722,LITH01212018-ZO4123,5.0,10.0,8.18181818181818,1.636363636363636
-15.717847,34.449722,LITH01212018-ZO4123,10.0,15.0,5.191919191919197,1.0383838383838395
-15.717847,34.449722,LITH01212018-ZO4123,15.0,20.0,4.444444444444443,0.8888888888888886
-15.717847,34.449722,LITH01212018-ZO4123,20.0,25.0,4.444444444444443,0.8888888888888886
-15.717847,34.449722,LITH01212018-ZO4123,25.0,30.0,3.993055555555557,0.7986111111111114
-15.717847,34.449722,LITH01212018-ZO4123,30.0,35.0,2.1875,0.4375
-15.717847,34.449722,LITH01212018-ZO4123,35.0,40.0,2.1875,0.4375
-15.717847,34.449722,LITH01212018-ZO4123,40.0,45.0,2.1875,0.4375
-15.717847,34.449722,LITH01212018-ZO4123,45.0,50.0,-0.625,-0.125
-15.717847,34.449722,LITH01212018-ZO4123,50.0,55.0,-0.625,-0.125
-15.717847,34.449722,LITH01212018-ZO4123,55.0,60.0,-0.625,-0.125
-15.717847,34.449722,LITH01212018-ZO4123,60.0,65.0,-0.5694444444444429,-0.11388888888888857
-15.717847,34.449722,LITH01212018-ZO4123,65.0,70.0,-0.5555555555555571,-0.11111111111111142
